Time.Point,T1.low,T2.low,T3.low,T4.amb,T5.amb,T6.amb,
02/11/2017 09:00,15.939,16.141,15.76,16.01,16.046,16.141,
02/11/2017 09:30,15.915,16.046,15.76,15.986,16.046,16.046,
02/11/2017 10:00,15.748,15.378,14.996,15.342,15.951,15.378,
02/11/2017 10:30,16.201,16.141,16.237,16.153,16.141,16.046,
02/11/2017 11:00,17.582,18.045,17.379,17.677,17.855,18.14,
02/11/2017 11:30,15.796,15.76,15.951,15.915,15.569,15.664,
02/11/2017 12:00,15.103,15.091,15.187,15.079,14.996,14.996,
02/11/2017 12:30,14.912,14.996,14.9,14.864,14.9,14.804,
02/11/2017 13:00,14.888,14.996,14.804,15.079,14.9,14.9,
02/11/2017 13:30,14.745,14.804,14.709,14.768,14.709,14.709,
02/11/2017 14:00,14.673,14.613,14.421,13.93,14.325,14.134,
02/11/2017 14:30,14.337,14.23,14.23,13.209,13.461,13.558,
02/11/2017 15:00,14.194,14.038,14.23,13.185,13.365,13.461,
02/11/2017 15:30,14.361,14.23,14.421,13.281,13.365,13.654,
02/11/2017 16:00,14.385,14.23,14.325,13.04,13.269,13.558,
02/11/2017 16:30,14.29,14.23,14.23,13.161,13.269,13.461,
02/11/2017 17:00,14.194,14.038,14.134,13.161,13.269,13.461,
02/11/2017 17:30,9.509,9.571,9.373,9.485,9.472,9.373,
02/11/2017 18:00,9.46,9.571,9.373,9.509,9.571,9.472,
02/11/2017 18:30,9.509,9.571,9.472,9.558,9.571,9.472,
02/11/2017 19:00,9.558,9.669,9.472,9.632,9.669,9.571,
02/11/2017 19:30,9.608,9.669,9.571,9.682,9.669,9.571,
02/11/2017 20:00,9.657,9.768,9.571,9.731,9.768,9.669,
02/11/2017 20:30,9.706,9.768,9.571,9.805,9.768,9.768,
02/11/2017 21:00,9.756,9.866,9.669,9.829,9.866,9.768,
02/11/2017 21:30,9.78,9.866,9.669,9.879,9.866,9.866,
02/11/2017 22:00,10.687,10.063,9.768,11.2,11.528,11.916,
02/11/2017 22:30,9.879,10.063,9.866,9.829,9.768,9.768,
02/11/2017 23:00,9.928,10.063,9.866,9.805,9.866,9.768,
02/11/2017 23:30,9.928,10.063,9.866,9.829,9.866,9.768,
02/12/2017 00:00,9.952,10.063,9.866,9.879,9.866,9.866,
02/12/2017 00:30,9.952,10.063,9.866,9.903,9.965,9.866,
02/12/2017 01:00,9.977,10.063,9.866,9.903,9.965,9.866,
02/12/2017 01:30,9.952,10.063,9.866,9.903,9.965,9.866,
02/12/2017 02:00,9.952,10.063,9.866,9.903,9.965,9.866,
02/12/2017 02:30,9.952,10.063,9.866,9.903,9.965,9.866,
02/12/2017 03:00,9.928,10.063,9.866,9.879,9.965,9.866,
02/12/2017 03:30,9.928,10.063,9.866,9.879,9.965,9.866,
02/12/2017 04:00,9.928,10.063,9.768,9.879,9.866,9.866,
02/12/2017 04:30,9.928,10.063,9.866,9.879,9.866,9.866,
