Time.Point,T1.low,T2.low,T3.low,T4.amb,T5.amb,T6.amb,
02/12/2017 05:00,9.928,10.063,9.866,9.829,9.965,9.866,
02/12/2017 05:30,9.928,10.063,9.866,9.854,9.965,9.866,
02/12/2017 06:00,9.928,10.063,9.866,9.854,9.965,9.866,
02/12/2017 06:30,9.952,10.063,9.866,9.879,9.965,9.866,
02/12/2017 07:00,9.977,10.063,9.866,9.879,9.965,9.866,
02/12/2017 07:30,9.977,10.063,9.866,9.903,9.965,9.866,
02/12/2017 08:00,9.977,10.063,9.866,9.903,9.965,9.866,
02/12/2017 08:30,10.001,10.161,9.866,9.903,9.965,9.866,
02/12/2017 09:00,10.026,10.161,9.866,9.952,9.965,9.965,
02/12/2017 09:30,10.026,10.161,9.965,9.952,10.063,9.965,
02/12/2017 10:00,10.026,10.161,9.965,9.952,10.063,9.965,
02/12/2017 10:30,10.051,10.161,9.965,9.977,10.063,9.965,
02/12/2017 11:00,10.051,10.161,9.965,10.026,10.063,9.965,
02/12/2017 11:30,10.075,10.161,9.965,10.051,10.063,9.965,
02/12/2017 12:00,10.075,10.161,9.965,10.075,10.063,10.063,
02/12/2017 12:30,10.075,10.161,9.965,10.075,10.063,10.063,
02/12/2017 13:00,10.1,10.259,9.965,10.1,10.063,10.063,
02/12/2017 13:30,10.1,10.259,9.965,10.124,10.063,10.063,
02/12/2017 14:00,10.1,10.259,9.965,10.124,10.161,10.063,
02/12/2017 14:30,10.124,10.259,10.063,10.124,10.161,10.063,
02/12/2017 15:00,10.1,10.259,9.965,10.124,10.161,10.063,
02/12/2017 15:30,10.124,10.259,10.063,10.124,10.161,10.063,
02/12/2017 16:00,10.124,10.259,9.965,10.124,10.161,10.063,
02/12/2017 16:30,10.124,10.259,10.063,10.124,10.161,10.063,
02/12/2017 17:00,10.124,10.259,10.063,10.124,10.161,10.063,
02/12/2017 17:30,10.124,10.259,10.063,10.124,10.161,10.063,
02/12/2017 18:00,10.124,10.259,10.063,10.1,10.161,10.063,
02/12/2017 18:30,10.124,10.259,9.965,10.1,10.161,10.063,
02/12/2017 19:00,10.124,10.259,9.965,10.1,10.161,10.063,
02/12/2017 19:30,10.124,10.259,9.965,10.1,10.161,10.063,
02/12/2017 20:00,10.124,10.259,9.965,10.075,10.161,10.063,
02/12/2017 20:30,10.124,10.259,9.965,10.075,10.161,10.063,
02/12/2017 21:00,10.124,10.259,9.965,10.075,10.161,10.063,
02/12/2017 21:30,10.1,10.259,9.965,10.051,10.161,10.063,
02/12/2017 22:00,10.1,10.259,9.965,10.051,10.161,10.063,
02/12/2017 22:30,10.1,10.259,9.965,10.051,10.161,10.063,
02/12/2017 23:00,10.1,10.161,9.965,10.026,10.063,10.063,
02/12/2017 23:30,10.075,10.161,9.965,10.026,10.063,9.965,
02/13/2017 00:00,10.075,10.161,9.965,9.952,10.063,9.965,
02/13/2017 00:30,10.075,10.161,9.965,9.952,10.063,9.965,
02/13/2017 01:00,10.051,10.161,9.965,9.952,10.063,9.866,
02/13/2017 01:30,10.026,10.161,9.965,9.952,10.063,9.866,
02/13/2017 02:00,10.026,10.161,9.866,9.952,9.965,9.866,
02/13/2017 02:30,10.001,10.063,9.866,9.952,9.965,9.866,
02/13/2017 03:00,9.977,10.063,9.866,9.928,9.965,9.866,
02/13/2017 03:30,9.977,10.063,9.866,9.903,9.965,9.866,
02/13/2017 04:00,9.928,10.063,9.866,9.879,9.965,9.768,
02/13/2017 04:30,9.928,10.063,9.768,9.879,9.866,9.768,
02/13/2017 05:00,9.928,10.063,9.768,9.829,9.866,9.768,
02/13/2017 05:30,9.903,9.965,9.768,9.829,9.866,9.768,
02/13/2017 06:00,9.903,10.063,9.768,9.829,9.866,9.768,
02/13/2017 06:30,9.903,10.063,9.768,9.805,9.866,9.768,
02/13/2017 07:00,9.903,10.063,9.768,9.829,9.866,9.768,
02/13/2017 07:30,9.928,10.063,9.768,9.829,9.866,9.768,
02/13/2017 08:00,9.928,10.063,9.768,9.854,9.965,9.768,
02/13/2017 08:30,9.928,10.063,9.866,9.879,9.866,9.768,
02/13/2017 09:00,9.952,10.063,9.866,9.903,9.965,9.768,
02/13/2017 09:30,9.977,10.063,9.866,9.928,9.965,9.768,
02/13/2017 10:00,10.001,10.161,9.866,9.928,9.965,9.866,
02/13/2017 10:30,10.026,10.161,9.866,9.952,9.965,9.866,
02/13/2017 11:00,10.051,10.161,9.965,10.001,10.063,9.866,
02/13/2017 11:30,10.075,10.161,9.965,10.026,10.063,9.866,
02/13/2017 12:00,10.124,10.259,9.965,10.075,10.063,9.965,
02/13/2017 12:30,10.173,10.259,10.063,10.124,10.161,9.965,
02/13/2017 13:00,10.222,10.357,10.063,10.149,10.161,10.063,
02/13/2017 13:30,10.247,10.357,10.161,10.124,10.063,9.965,
02/13/2017 14:00,10.271,10.357,10.161,9.928,9.866,9.866,
02/13/2017 14:30,10.32,10.455,10.161,10.026,9.768,9.768,
02/13/2017 15:00,10.32,10.455,10.161,9.977,9.571,9.768,
02/13/2017 15:30,10.345,10.455,10.259,9.928,9.571,9.669,
02/13/2017 16:00,10.345,10.553,10.161,9.879,9.472,9.571,
02/13/2017 16:30,10.32,10.553,10.259,9.805,9.472,9.571,
02/13/2017 17:00,10.32,10.455,10.161,9.756,9.472,9.472,
02/13/2017 17:30,10.271,10.455,10.161,9.706,9.373,9.472,
02/13/2017 18:00,10.222,10.455,10.063,9.632,9.373,9.472,
02/13/2017 18:30,10.173,10.357,10.063,9.632,9.373,9.373,
02/13/2017 19:00,10.149,10.357,9.965,9.583,9.373,9.373,
02/13/2017 19:30,10.1,10.357,9.965,9.558,9.275,9.373,
02/13/2017 20:00,10.051,10.259,9.965,9.534,9.373,9.373,
02/13/2017 20:30,10.001,10.259,9.866,9.534,9.275,9.373,
02/13/2017 21:00,9.977,10.161,9.866,9.485,9.275,9.373,
02/13/2017 21:30,9.928,10.161,9.768,9.485,9.275,9.275,
02/13/2017 22:00,9.903,10.161,9.768,9.46,9.275,9.275,
02/13/2017 22:30,9.854,10.063,9.768,9.435,9.275,9.275,
02/13/2017 23:00,9.829,10.063,9.669,9.435,9.176,9.275,
02/13/2017 23:30,9.829,10.063,9.669,9.41,9.176,9.275,
02/14/2017 00:00,9.805,9.965,9.669,9.386,9.176,9.275,
02/14/2017 00:30,9.756,9.965,9.669,9.361,9.176,9.176,
02/14/2017 01:00,9.756,9.965,9.669,9.336,9.176,9.176,
02/14/2017 01:30,9.731,9.965,9.571,9.336,9.077,9.176,
02/14/2017 02:00,9.706,9.866,9.571,9.312,9.077,9.176,
02/14/2017 02:30,9.682,9.866,9.571,9.287,9.077,9.176,
02/14/2017 03:00,9.657,9.866,9.571,9.287,9.077,9.077,
02/14/2017 03:30,9.632,9.866,9.571,9.262,9.077,9.077,
02/14/2017 04:00,9.632,9.866,9.472,9.238,9.077,9.077,
02/14/2017 04:30,9.632,9.866,9.472,9.238,9.077,9.077,
02/14/2017 05:00,9.608,9.768,9.472,9.238,9.077,9.077,
02/14/2017 05:30,9.583,9.768,9.472,9.262,9.077,9.077,
02/14/2017 06:00,9.583,9.768,9.472,9.312,9.176,9.077,
02/14/2017 06:30,9.608,9.768,9.472,9.386,9.176,9.077,
02/14/2017 07:00,9.583,9.768,9.472,9.41,9.176,9.176,
02/14/2017 07:30,9.608,9.768,9.472,9.386,9.176,9.176,
02/14/2017 08:00,9.583,9.768,9.472,9.41,9.176,9.077,
02/14/2017 08:30,9.608,9.768,9.472,9.435,9.176,9.176,
02/14/2017 09:00,9.608,9.768,9.472,9.46,9.176,9.176,
02/14/2017 09:30,9.632,9.768,9.472,9.485,9.176,9.176,
02/14/2017 10:00,9.632,9.768,9.472,9.509,9.275,9.275,
02/14/2017 10:30,9.657,9.866,9.571,9.534,9.373,9.275,
02/14/2017 11:00,9.682,9.866,9.571,9.583,9.373,9.373,
02/14/2017 11:30,9.706,9.866,9.571,9.657,9.373,9.373,
02/14/2017 12:00,9.731,9.866,9.571,9.608,9.373,9.373,
02/14/2017 12:30,9.756,9.965,9.669,9.632,9.472,9.472,
02/14/2017 13:00,9.805,9.965,9.669,9.682,9.472,9.472,
02/14/2017 13:30,9.829,9.965,9.768,9.78,9.472,9.472,
02/14/2017 14:00,9.854,9.965,9.768,9.731,9.472,9.472,
02/14/2017 14:30,9.903,10.063,9.768,9.731,9.472,9.472,
02/14/2017 15:00,9.952,10.161,9.866,9.731,9.472,9.472,
02/14/2017 15:30,9.977,10.161,9.866,9.78,9.373,9.472,
02/14/2017 16:00,10.001,10.161,9.866,9.731,9.373,9.472,
02/14/2017 16:30,10.075,10.259,9.965,9.706,9.571,9.571,
02/14/2017 17:00,10.198,10.357,10.063,9.903,9.669,9.669,
02/14/2017 17:30,10.32,10.455,10.161,9.879,9.472,9.571,
02/14/2017 18:00,10.418,10.553,10.259,9.756,9.472,9.571,
02/14/2017 18:30,10.516,10.651,10.455,9.805,9.571,9.571,
02/14/2017 19:00,10.565,10.748,10.553,9.78,9.669,9.669,
02/14/2017 19:30,10.663,10.748,10.651,9.805,9.669,9.669,
02/14/2017 20:00,10.712,10.846,10.748,9.805,9.669,9.669,
02/14/2017 20:30,10.761,10.944,10.846,9.854,9.768,9.669,
02/14/2017 21:00,10.81,10.944,11.041,9.879,9.669,9.768,
02/14/2017 21:30,10.858,11.041,11.041,9.879,9.669,9.768,
02/14/2017 22:00,10.932,11.041,11.139,9.879,9.669,9.768,
02/14/2017 22:30,11.029,11.139,11.236,9.952,9.768,9.768,
02/14/2017 23:00,11.078,11.236,11.334,9.977,9.768,9.768,
02/14/2017 23:30,11.127,11.334,11.528,10.051,9.768,9.768,
02/15/2017 00:00,11.2,11.431,11.528,10.026,9.866,9.866,
02/15/2017 00:30,11.224,11.431,11.625,10.051,9.866,9.965,
02/15/2017 01:00,11.297,11.431,11.722,10.075,9.866,9.965,
02/15/2017 01:30,11.346,11.528,11.819,10.1,9.866,9.965,
02/15/2017 02:00,11.37,11.528,11.916,10.124,9.866,9.965,
02/15/2017 02:30,11.394,11.528,11.916,10.173,9.965,9.965,
02/15/2017 03:00,11.467,11.625,12.013,10.124,9.866,9.965,
02/15/2017 03:30,11.492,11.722,12.11,10.222,9.965,9.965,
02/15/2017 04:00,11.54,11.722,12.11,10.149,9.866,9.965,
02/15/2017 04:30,11.589,11.819,12.207,10.173,9.965,10.063,
02/15/2017 05:00,11.613,11.819,12.207,10.198,9.965,10.063,
02/15/2017 05:30,11.686,11.819,12.304,10.173,9.866,9.965,
02/15/2017 06:00,11.71,11.916,12.401,10.222,9.866,9.965,
02/15/2017 06:30,11.71,11.916,12.401,10.222,9.965,9.965,
02/15/2017 07:00,11.759,11.916,12.497,10.222,9.965,9.965,
02/15/2017 07:30,11.807,12.013,12.594,10.198,9.965,9.965,
02/15/2017 08:00,11.856,12.013,12.594,10.173,9.965,9.965,
02/15/2017 08:30,11.88,12.013,12.69,10.296,9.965,10.063,
02/15/2017 09:00,11.953,12.207,12.69,10.198,10.063,10.063,
02/15/2017 09:30,11.977,12.207,12.787,10.247,10.063,10.063,
02/15/2017 10:00,11.977,12.207,12.787,10.345,10.063,10.161,
02/15/2017 10:30,12.05,12.304,12.883,10.345,10.259,10.259,
02/15/2017 11:00,12.122,12.304,12.98,10.394,10.259,10.259,
02/15/2017 11:30,12.147,12.401,13.076,10.443,10.259,10.259,
02/15/2017 12:00,12.219,12.401,13.173,10.467,10.161,10.259,
02/15/2017 12:30,12.243,12.497,13.173,10.541,10.455,10.455,
02/15/2017 13:00,12.316,12.497,13.269,10.761,10.651,10.651,
02/15/2017 13:30,12.389,12.594,13.269,10.81,10.748,10.651,
02/15/2017 14:00,12.389,12.594,13.365,10.883,10.748,10.748,
02/15/2017 14:30,12.485,12.69,13.461,10.956,10.748,10.748,
02/15/2017 15:00,12.558,12.69,13.558,10.956,10.748,10.748,
02/15/2017 15:30,12.606,12.787,13.558,11.2,10.748,10.846,
02/15/2017 16:00,12.727,12.98,13.654,11.492,11.139,10.944,
02/15/2017 16:30,12.558,12.69,13.173,10.198,12.11,12.594,
02/15/2017 17:00,9.509,9.669,9.866,9.336,9.275,9.176,
02/15/2017 17:30,9.238,9.373,9.669,9.41,9.275,9.275,
02/15/2017 18:00,9.287,9.472,9.571,9.46,9.472,9.373,
02/15/2017 18:30,9.41,9.571,9.571,9.583,9.571,9.472,
02/15/2017 19:00,9.485,9.669,9.571,9.731,9.669,9.571,
02/15/2017 19:30,9.583,9.768,9.571,9.829,9.768,9.571,
02/15/2017 20:00,9.608,9.768,9.571,9.78,9.669,9.571,
02/15/2017 20:30,9.657,9.768,9.571,9.805,9.768,9.571,
02/15/2017 21:00,9.706,9.768,9.571,9.829,9.768,9.669,
02/15/2017 21:30,9.756,9.866,9.669,9.854,9.768,9.768,
02/15/2017 22:00,9.805,9.866,9.669,9.879,9.866,9.768,
02/15/2017 22:30,9.854,9.965,9.768,9.928,9.866,9.866,
02/15/2017 23:00,9.903,9.965,9.768,9.952,9.965,9.866,
02/15/2017 23:30,9.928,10.063,9.866,9.977,9.965,9.965,
02/16/2017 00:00,9.977,10.063,9.866,10.026,9.965,9.965,
02/16/2017 00:30,10.026,10.161,9.866,10.051,10.063,9.965,
02/16/2017 01:00,10.051,10.161,9.965,10.075,10.063,10.063,
02/16/2017 01:30,10.075,10.161,9.965,10.1,10.063,10.063,
02/16/2017 02:00,10.1,10.161,9.965,10.124,10.063,10.063,
02/16/2017 02:30,10.124,10.161,9.965,10.149,10.063,10.063,
02/16/2017 03:00,10.124,10.259,9.965,10.149,10.161,10.063,
02/16/2017 03:30,10.149,10.259,9.965,10.173,10.161,10.063,
02/16/2017 04:00,10.149,10.259,10.063,10.173,10.161,10.161,
02/16/2017 04:30,10.149,10.259,10.063,10.173,10.161,10.161,
02/16/2017 05:00,10.124,10.259,9.965,10.173,10.161,10.161,
02/16/2017 05:30,10.124,10.259,9.965,10.173,10.161,10.161,
02/16/2017 06:00,10.124,10.259,9.965,10.173,10.161,10.161,
02/16/2017 06:30,10.1,10.259,9.965,10.149,10.063,10.063,
02/16/2017 07:00,10.075,10.161,9.866,10.075,9.965,9.965,
02/16/2017 07:30,10.051,10.063,9.866,10.026,9.965,9.965,
02/16/2017 08:00,10.026,10.063,9.866,10.026,9.965,9.965,
02/16/2017 08:30,10.026,10.063,9.866,10.001,9.965,9.965,
02/16/2017 09:00,10.026,10.063,9.866,10.001,9.965,9.965,
02/16/2017 09:30,10.026,10.063,9.866,10.001,9.965,9.965,
02/16/2017 10:00,10.051,10.063,9.866,10.026,9.965,9.965,
02/16/2017 10:30,10.075,10.063,9.866,10.026,9.965,9.965,
02/16/2017 11:00,10.1,10.161,9.965,10.051,10.063,9.965,
02/16/2017 11:30,10.124,10.161,9.965,10.075,10.063,9.965,
02/16/2017 12:00,10.173,10.259,9.965,10.149,10.161,10.063,
02/16/2017 12:30,10.198,10.259,10.063,10.198,10.161,10.161,
02/16/2017 13:00,10.247,10.357,10.063,10.247,10.161,10.161,
02/16/2017 13:30,10.271,10.357,10.161,10.296,10.259,10.161,
02/16/2017 14:00,10.296,10.455,10.161,10.32,10.259,10.259,
02/16/2017 14:30,10.32,10.455,10.161,10.345,10.259,10.259,
02/16/2017 15:00,10.369,10.553,10.161,10.369,10.259,10.259,
02/16/2017 15:30,10.394,10.553,10.259,10.394,10.357,10.259,
02/16/2017 16:00,10.418,10.553,10.259,10.418,10.357,10.357,
02/16/2017 16:30,10.443,10.651,10.259,10.443,10.357,10.357,
02/16/2017 17:00,10.467,10.651,10.259,10.467,10.455,10.357,
02/16/2017 17:30,10.492,10.651,10.357,10.492,10.357,10.455,
02/16/2017 18:00,10.492,10.651,10.357,10.492,10.455,10.455,
02/16/2017 18:30,10.492,10.651,10.357,10.492,10.455,10.455,
02/16/2017 19:00,10.467,10.651,10.357,10.492,10.455,10.357,
02/16/2017 19:30,10.443,10.651,10.259,10.467,10.357,10.357,
02/16/2017 20:00,10.418,10.651,10.259,10.443,10.357,10.357,
02/16/2017 20:30,10.394,10.553,10.259,10.443,10.357,10.357,
02/16/2017 21:00,10.369,10.553,10.161,10.394,10.357,10.357,
02/16/2017 21:30,10.345,10.553,10.161,10.369,10.259,10.259,
02/16/2017 22:00,10.32,10.553,10.161,10.32,10.259,10.259,
02/16/2017 22:30,10.296,10.455,10.161,10.296,10.259,10.259,
02/16/2017 23:00,10.271,10.455,10.063,10.271,10.161,10.161,
02/16/2017 23:30,10.247,10.455,10.063,10.247,10.161,10.161,
02/17/2017 00:00,10.247,10.357,10.063,10.222,10.161,10.161,
02/17/2017 00:30,10.222,10.357,10.063,10.198,10.161,10.161,
02/17/2017 01:00,10.198,10.357,9.965,10.173,10.161,10.161,
02/17/2017 01:30,10.173,10.259,9.965,10.173,10.161,10.161,
02/17/2017 02:00,10.173,10.259,9.965,10.149,10.161,10.063,
02/17/2017 02:30,10.124,10.259,9.965,10.149,10.063,10.063,
02/17/2017 03:00,10.1,10.161,9.866,10.1,10.063,10.063,
02/17/2017 03:30,10.075,10.161,9.866,10.075,10.063,9.965,
02/17/2017 04:00,10.075,10.161,9.866,10.051,10.063,9.965,
02/17/2017 04:30,10.051,10.161,9.866,10.051,9.965,9.965,
02/17/2017 05:00,10.051,10.161,9.866,10.075,9.965,9.965,
02/17/2017 05:30,10.026,10.161,9.866,10.075,9.965,9.965,
02/17/2017 06:00,10.001,10.161,9.866,10.075,9.965,9.965,
02/17/2017 06:30,10.001,10.063,9.866,10.075,9.965,9.965,
02/17/2017 07:00,9.977,10.063,9.866,10.075,9.965,9.866,
02/17/2017 07:30,9.952,10.063,9.768,10.051,9.965,9.866,
02/17/2017 08:00,9.952,10.063,9.866,10.051,9.965,9.866,
02/17/2017 08:30,9.952,10.063,9.866,10.051,9.965,9.866,
02/17/2017 09:00,9.952,10.063,9.866,10.051,9.965,9.866,
02/17/2017 09:30,9.952,10.063,9.866,10.026,9.965,9.866,
02/17/2017 10:00,9.952,10.063,9.866,10.026,9.965,9.866,
02/17/2017 10:30,9.952,10.063,9.866,10.026,9.965,9.866,
02/17/2017 11:00,9.977,10.063,9.866,10.001,9.965,9.866,
02/17/2017 11:30,10.001,10.063,9.866,10.001,9.965,9.866,
02/17/2017 12:00,10.026,10.063,9.965,10.026,9.965,9.965,
02/17/2017 12:30,10.051,10.161,9.965,10.026,9.965,9.965,
02/17/2017 13:00,10.075,10.161,9.965,10.051,9.965,9.965,
02/17/2017 13:30,10.075,10.161,9.965,10.075,10.063,9.965,
02/17/2017 14:00,10.1,10.161,9.965,10.1,10.063,9.965,
02/17/2017 14:30,10.124,10.259,10.063,10.124,10.063,10.063,
02/17/2017 15:00,10.149,10.259,10.063,10.149,10.161,10.063,
02/17/2017 15:30,10.173,10.259,10.063,10.173,10.161,10.063,
02/17/2017 16:00,10.198,10.259,10.063,10.222,10.161,10.161,
02/17/2017 16:30,10.222,10.357,10.161,10.271,10.259,10.161,
02/17/2017 17:00,10.271,10.357,10.161,10.296,10.259,10.161,
02/17/2017 17:30,10.296,10.357,10.161,10.32,10.357,10.259,
02/17/2017 18:00,10.32,10.357,10.259,10.345,10.357,10.259,
02/17/2017 18:30,10.32,10.455,10.259,10.369,10.357,10.259,
02/17/2017 19:00,10.32,10.357,10.259,10.369,10.357,10.259,
02/17/2017 19:30,10.32,10.357,10.259,10.369,10.259,10.161,
02/17/2017 20:00,10.296,10.357,10.161,10.345,10.259,10.161,
02/17/2017 20:30,10.271,10.357,10.161,10.32,10.259,10.161,
02/17/2017 21:00,10.271,10.357,10.161,10.32,10.259,10.161,
02/17/2017 21:30,10.247,10.357,10.161,10.296,10.259,10.161,
02/17/2017 22:00,10.222,10.357,10.161,10.271,10.161,10.161,
02/17/2017 22:30,10.198,10.259,10.063,10.247,10.161,10.161,
02/17/2017 23:00,10.173,10.259,10.063,10.198,10.161,10.063,
02/17/2017 23:30,10.173,10.259,10.063,10.173,10.161,10.063,
02/18/2017 00:00,10.149,10.259,10.063,10.173,10.161,10.063,
02/18/2017 00:30,10.149,10.161,10.063,10.149,10.063,10.063,
02/18/2017 01:00,10.149,10.259,10.063,10.124,10.063,10.063,
02/18/2017 01:30,10.124,10.259,10.063,10.124,10.063,10.063,
02/18/2017 02:00,10.124,10.259,10.063,10.124,10.063,10.063,
02/18/2017 02:30,10.124,10.259,10.063,10.124,10.063,10.063,
02/18/2017 03:00,10.124,10.259,10.063,10.124,10.063,10.063,
02/18/2017 03:30,10.1,10.161,9.965,10.124,10.063,10.063,
02/18/2017 04:00,10.1,10.161,9.965,10.1,10.063,10.063,
02/18/2017 04:30,10.075,10.161,9.965,10.075,9.965,9.965,
02/18/2017 05:00,10.075,10.161,9.965,10.026,9.965,9.965,
02/18/2017 05:30,10.051,10.161,9.965,10.026,9.965,9.965,
02/18/2017 06:00,10.051,10.161,9.965,10.026,9.965,9.965,
02/18/2017 06:30,10.026,10.161,9.965,10.051,9.965,9.965,
02/18/2017 07:00,10.026,10.161,9.965,10.075,9.965,9.965,
02/18/2017 07:30,10.026,10.161,9.965,10.075,9.965,9.965,
02/18/2017 08:00,10.026,10.161,9.965,10.075,9.965,9.965,
02/18/2017 08:30,10.001,10.161,9.965,10.075,9.965,9.965,
02/18/2017 09:00,10.001,10.161,9.965,10.075,9.965,9.965,
02/18/2017 09:30,10.001,10.063,9.965,10.075,9.965,9.965,
02/18/2017 10:00,10.026,10.161,9.965,10.051,9.965,9.965,
02/18/2017 10:30,10.026,10.161,9.965,10.075,10.063,9.965,
02/18/2017 11:00,10.051,10.161,9.965,10.075,10.063,9.965,
02/18/2017 11:30,10.075,10.161,9.965,10.124,10.063,9.965,
02/18/2017 12:00,10.075,10.161,9.965,10.124,10.063,9.965,
02/18/2017 12:30,10.075,10.161,9.965,10.124,10.063,9.965,
02/18/2017 13:00,10.075,10.161,9.965,10.124,10.063,9.965,
02/18/2017 13:30,10.075,10.161,9.965,10.124,10.063,10.063,
02/18/2017 14:00,10.075,10.161,9.965,10.124,10.063,9.965,
02/18/2017 14:30,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 15:00,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 15:30,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 16:00,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 16:30,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 17:00,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 17:30,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 18:00,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 18:30,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 19:00,10.075,10.161,9.965,10.1,10.063,9.965,
02/18/2017 19:30,10.051,10.161,9.965,10.1,10.063,9.965,
02/18/2017 20:00,10.051,10.161,9.965,10.1,10.063,9.965,
02/18/2017 20:30,10.051,10.161,9.965,10.1,10.063,9.965,
02/18/2017 21:00,10.051,10.161,9.965,10.075,10.063,9.965,
02/18/2017 21:30,10.026,10.161,9.965,10.075,10.063,9.965,
02/18/2017 22:00,10.026,10.161,9.965,10.075,10.063,9.965,
02/18/2017 22:30,10.026,10.161,9.965,10.051,10.063,9.965,
02/18/2017 23:00,10.026,10.161,9.965,10.051,10.063,9.965,
02/18/2017 23:30,10.026,10.161,9.965,10.051,10.063,9.965,
02/19/2017 00:00,10.001,10.063,9.965,10.026,10.063,9.965,
02/19/2017 00:30,10.001,10.063,9.866,10.001,9.965,9.866,
02/19/2017 01:00,9.977,10.063,9.866,9.977,9.965,9.866,
02/19/2017 01:30,9.977,10.063,9.866,9.952,9.965,9.866,
02/19/2017 02:00,9.977,10.063,9.866,9.952,9.965,9.866,
02/19/2017 02:30,9.977,10.063,9.866,9.977,9.965,9.866,
02/19/2017 03:00,9.977,10.063,9.866,9.977,9.965,9.866,
02/19/2017 03:30,9.952,10.063,9.866,10.001,9.965,9.866,
02/19/2017 04:00,9.952,10.063,9.866,10.001,9.965,9.866,
02/19/2017 04:30,9.952,10.063,9.866,10.001,9.965,9.866,
02/19/2017 05:00,9.952,10.063,9.866,10.001,9.965,9.866,
02/19/2017 05:30,9.952,10.063,9.866,10.001,9.965,9.866,
02/19/2017 06:00,9.952,10.063,9.866,10.001,9.965,9.866,
02/19/2017 06:30,9.952,10.063,9.866,10.001,9.965,9.866,
02/19/2017 07:00,9.928,10.063,9.866,10.001,9.965,9.866,
02/19/2017 07:30,9.928,10.063,9.866,10.001,9.965,9.866,
02/19/2017 08:00,9.928,10.063,9.866,10.001,9.965,9.866,
02/19/2017 08:30,9.928,10.063,9.866,9.977,9.965,9.866,
02/19/2017 09:00,9.928,10.063,9.866,10.001,9.965,9.866,
02/19/2017 09:30,9.903,10.063,9.866,9.977,9.965,9.866,
