"Plot Title: 20031753"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20031753, SEN S/N: 20031753)","Coupler Detached (LGR S/N: 20031753)","Coupler Attached (LGR S/N: 20031753)","Host Connected (LGR S/N: 20031753)","End Of File (LGR S/N: 20031753)"
123,12/23/16 02:00:00 AM,21.151,,,,
124,12/23/16 02:30:00 AM,21.151,,,,
125,12/23/16 03:00:00 AM,21.151,,,,
126,12/23/16 03:30:00 AM,21.151,,,,
127,12/23/16 04:00:00 AM,21.151,,,,
128,12/23/16 04:30:00 AM,21.151,,,,
129,12/23/16 05:00:00 AM,21.151,,,,
130,12/23/16 05:30:00 AM,21.151,,,,
131,12/23/16 06:00:00 AM,21.151,,,,
132,12/23/16 06:30:00 AM,21.151,,,,
133,12/23/16 07:00:00 AM,21.151,,,,
134,12/23/16 07:30:00 AM,21.151,,,,
135,12/23/16 08:00:00 AM,21.151,,,,
136,12/23/16 08:30:00 AM,21.151,,,,
137,12/23/16 09:00:00 AM,21.151,,,,
138,12/23/16 09:30:00 AM,21.151,,,,
139,12/23/16 10:00:00 AM,21.151,,,,
140,12/23/16 10:30:00 AM,21.175,,,,
141,12/23/16 11:00:00 AM,21.175,,,,
142,12/23/16 11:30:00 AM,21.175,,,,
143,12/23/16 12:00:00 PM,21.199,,,,
144,12/23/16 12:30:00 PM,21.223,,,,
145,12/23/16 01:00:00 PM,21.246,,,,
146,12/23/16 01:30:00 PM,21.270,,,,
147,12/23/16 02:00:00 PM,21.294,,,,
148,12/23/16 02:30:00 PM,21.318,,,,
149,12/23/16 03:00:00 PM,21.342,,,,
150,12/23/16 03:30:00 PM,21.342,,,,
151,12/23/16 04:00:00 PM,21.366,,,,
152,12/23/16 04:30:00 PM,21.390,,,,
153,12/23/16 05:00:00 PM,21.413,,,,
154,12/23/16 05:30:00 PM,21.413,,,,
155,12/23/16 06:00:00 PM,21.413,,,,
156,12/23/16 06:30:00 PM,21.437,,,,
157,12/23/16 07:00:00 PM,21.437,,,,
158,12/23/16 07:30:00 PM,21.437,,,,
159,12/23/16 08:00:00 PM,21.461,,,,
160,12/23/16 08:30:00 PM,21.461,,,,
161,12/23/16 09:00:00 PM,21.461,,,,
162,12/23/16 09:30:00 PM,21.461,,,,
163,12/23/16 10:00:00 PM,21.461,,,,
164,12/23/16 10:30:00 PM,21.461,,,,
165,12/23/16 11:00:00 PM,21.461,,,,
166,12/23/16 11:30:00 PM,21.461,,,,
167,12/24/16 12:00:00 AM,21.461,,,,
168,12/24/16 12:30:00 AM,21.461,,,,
169,12/24/16 01:00:00 AM,21.461,,,,
170,12/24/16 01:30:00 AM,21.437,,,,
171,12/24/16 02:00:00 AM,21.413,,,,
172,12/24/16 02:30:00 AM,21.413,,,,
173,12/24/16 03:00:00 AM,21.413,,,,
174,12/24/16 03:30:00 AM,21.390,,,,
175,12/24/16 04:00:00 AM,21.390,,,,
176,12/24/16 04:30:00 AM,21.390,,,,
177,12/24/16 05:00:00 AM,21.390,,,,
178,12/24/16 05:30:00 AM,21.390,,,,
179,12/24/16 06:00:00 AM,21.390,,,,
180,12/24/16 06:30:00 AM,21.366,,,,
181,12/24/16 07:00:00 AM,21.366,,,,
182,12/24/16 07:30:00 AM,21.366,,,,
183,12/24/16 08:00:00 AM,21.342,,,,
184,12/24/16 08:30:00 AM,21.342,,,,
185,12/24/16 09:00:00 AM,21.342,,,,
186,12/24/16 09:30:00 AM,21.342,,,,
187,12/24/16 10:00:00 AM,21.318,,,,
188,12/24/16 10:30:00 AM,21.318,,,,
189,12/24/16 11:00:00 AM,21.318,,,,
190,12/24/16 11:30:00 AM,21.318,,,,
191,12/24/16 12:00:00 PM,21.318,,,,
192,12/24/16 12:30:00 PM,21.318,,,,
193,12/24/16 01:00:00 PM,21.318,,,,
194,12/24/16 01:30:00 PM,21.318,,,,
195,12/24/16 02:00:00 PM,21.342,,,,
196,12/24/16 02:30:00 PM,21.342,,,,
197,12/24/16 03:00:00 PM,21.366,,,,
198,12/24/16 03:30:00 PM,21.366,,,,
199,12/24/16 04:00:00 PM,21.390,,,,
200,12/24/16 04:30:00 PM,21.413,,,,
201,12/24/16 05:00:00 PM,21.437,,,,
202,12/24/16 05:30:00 PM,21.461,,,,
203,12/24/16 06:00:00 PM,21.485,,,,
204,12/24/16 06:30:00 PM,21.509,,,,
205,12/24/16 07:00:00 PM,21.509,,,,
206,12/24/16 07:30:00 PM,21.533,,,,
207,12/24/16 08:00:00 PM,21.533,,,,
208,12/24/16 08:30:00 PM,21.533,,,,
209,12/24/16 09:00:00 PM,21.533,,,,
210,12/24/16 09:30:00 PM,21.533,,,,
211,12/24/16 10:00:00 PM,21.533,,,,
212,12/24/16 10:30:00 PM,21.509,,,,
213,12/24/16 11:00:00 PM,21.509,,,,
214,12/24/16 11:30:00 PM,21.509,,,,
