Time Point,Cold.temp,Ambient.temp,
12/24/2016 21:00,6.281,10.883,
12/24/2016 21:30,6.077,10.81,
12/24/2016 22:00,5.975,10.736,
12/24/2016 22:30,6.128,10.712,
12/24/2016 23:00,6.281,10.663,
12/24/2016 23:30,6.179,10.614,
12/25/2016 00:00,5.975,10.59,
12/25/2016 00:30,6.102,10.565,
12/25/2016 01:00,6.281,10.516,
12/25/2016 01:30,6.255,10.541,
12/25/2016 02:00,6.026,10.565,
12/25/2016 02:30,6.051,10.614,
12/25/2016 03:00,6.255,10.687,
12/25/2016 03:30,6.281,10.761,
12/25/2016 04:00,5.924,10.81,
12/25/2016 04:30,6.128,10.858,
12/25/2016 05:00,6.306,10.883,
12/25/2016 05:30,6.026,10.907,
12/25/2016 06:00,6.026,10.932,
12/25/2016 06:30,6.204,10.956,
12/25/2016 07:00,6.331,10.956,
12/25/2016 07:30,5.975,10.98,
12/25/2016 08:00,6.051,10.98,
12/25/2016 08:30,6.23,10.98,
12/25/2016 09:00,6.255,11.005,
12/25/2016 09:30,5.949,11.005,
12/25/2016 10:00,6.102,11.005,
12/25/2016 10:30,6.23,11.005,
12/25/2016 11:00,6.281,11.005,
12/25/2016 11:30,6.026,11.029,
12/25/2016 12:00,6,11.053,
12/25/2016 12:30,6.179,11.053,
12/25/2016 13:00,6.331,11.053,
12/25/2016 13:30,5.949,11.078,
12/25/2016 14:00,6.102,11.102,
12/25/2016 14:30,6.23,11.127,
12/25/2016 15:00,6.281,11.127,
12/25/2016 15:30,5.975,11.127,
12/25/2016 16:00,6.026,11.102,
12/25/2016 16:30,6.204,11.102,
12/25/2016 17:00,6.331,11.078,
12/25/2016 17:30,6.051,11.078,
12/25/2016 18:00,6.026,11.078,
12/25/2016 18:30,6.179,11.053,
12/25/2016 19:00,6.331,11.029,
12/25/2016 19:30,6.077,11.005,
12/25/2016 20:00,5.975,10.98,
12/25/2016 20:30,6.153,10.956,
12/25/2016 21:00,6.281,10.883,
12/25/2016 21:30,6.255,10.81,
12/25/2016 22:00,6.051,10.736,
12/25/2016 22:30,6.026,10.687,
12/25/2016 23:00,6.204,10.614,
12/25/2016 23:30,6.281,10.565,
12/26/2016 00:00,6.102,10.516,
12/26/2016 00:30,5.924,10.492,
12/26/2016 01:00,6.102,10.467,
12/26/2016 01:30,6.255,10.467,
12/26/2016 02:00,6.23,10.492,
12/26/2016 02:30,6.051,10.516,
12/26/2016 03:00,5.975,10.541,
12/26/2016 03:30,6.102,10.565,
12/26/2016 04:00,6.255,10.59,
12/26/2016 04:30,6.306,10.614,
12/26/2016 05:00,6.077,10.638,
12/26/2016 05:30,5.975,10.663,
12/26/2016 06:00,6.128,10.712,
12/26/2016 06:30,6.255,10.736,
12/26/2016 07:00,6.255,10.761,
12/26/2016 07:30,5.975,10.785,
12/26/2016 08:00,6.026,10.785,
12/26/2016 08:30,6.179,10.81,
12/26/2016 09:00,6.306,10.81,
12/26/2016 09:30,6.026,10.834,
12/26/2016 10:00,6.026,10.883,
12/26/2016 10:30,6.204,10.932,
12/26/2016 11:00,6.281,10.98,
12/26/2016 11:30,5.975,11.053,
12/26/2016 12:00,6.204,11.151,
12/26/2016 12:30,6.23,11.248,
12/26/2016 13:00,6.026,11.321,
12/26/2016 13:30,6.255,11.394,
12/26/2016 14:00,5.924,11.443,
12/26/2016 14:30,6.179,11.492,
12/26/2016 15:00,5.924,11.565,
12/26/2016 15:30,6.153,11.613,
12/26/2016 16:00,6.102,11.686,
12/26/2016 16:30,6.128,11.759,
12/26/2016 17:00,6.23,11.783,
12/26/2016 17:30,6,11.759,
12/26/2016 18:00,6.179,11.734,
12/26/2016 18:30,6.306,11.71,
12/26/2016 19:00,5.949,11.662,
12/26/2016 19:30,6.153,11.613,
12/26/2016 20:00,6.331,11.589,
12/26/2016 20:30,6.026,11.54,
12/26/2016 21:00,6.051,11.492,
12/26/2016 21:30,6.23,11.443,
12/26/2016 22:00,6.255,11.37,
12/26/2016 22:30,6.179,11.297,
12/26/2016 23:00,6.026,11.2,
12/26/2016 23:30,6,11.102,
12/27/2016 00:00,6.153,11.053,
12/27/2016 00:30,6.255,11.005,
12/27/2016 01:00,6.331,10.956,
12/27/2016 01:30,6.077,10.932,
12/27/2016 02:00,5.949,10.907,
12/27/2016 02:30,6.102,10.907,
12/27/2016 03:00,6.23,10.932,
12/27/2016 03:30,6.331,10.956,
12/27/2016 04:00,6.128,10.98,
12/27/2016 04:30,5.975,11.053,
12/27/2016 05:00,6.128,11.078,
12/27/2016 05:30,6.281,11.102,
12/27/2016 06:00,6.153,11.127,
12/27/2016 06:30,6.026,11.151,
12/27/2016 07:00,6.179,11.127,
12/27/2016 07:30,6.306,11.127,
12/27/2016 08:00,6.128,11.127,
12/27/2016 08:30,5.975,11.127,
12/27/2016 09:00,6.102,11.127,
12/27/2016 09:30,6.23,11.127,
12/27/2016 10:00,6.306,11.127,
12/27/2016 10:30,6,11.151,
12/27/2016 11:00,6.026,11.151,
12/27/2016 11:30,6.23,11.175,
12/27/2016 12:00,6.204,11.2,
12/27/2016 12:30,5.949,11.2,
12/27/2016 13:00,6.433,10.712,
12/27/2016 13:30,6.535,10.663,
12/27/2016 14:00,6.661,10.761,
12/27/2016 14:30,6.763,10.81,
12/27/2016 15:00,6.687,10.834,
12/27/2016 15:30,6.255,10.883,
12/27/2016 16:00,5.949,10.932,
12/27/2016 16:30,6.128,10.956,
12/27/2016 17:00,6.026,11.005,
12/27/2016 17:30,5.975,11.005,
12/27/2016 18:00,6.179,11.005,
12/27/2016 18:30,5.872,11.005,
12/27/2016 19:00,6.026,11.005,
12/27/2016 19:30,6.102,11.005,
12/27/2016 20:00,5.847,11.005,
12/27/2016 20:30,6.026,11.005,
12/27/2016 21:00,6.179,11.005,
12/27/2016 21:30,6.026,11.005,
12/27/2016 22:00,5.847,10.956,
12/27/2016 22:30,6.026,10.932,
12/27/2016 23:00,6.179,10.858,
12/27/2016 23:30,5.847,10.81,
12/28/2016 00:00,6.051,10.785,
12/28/2016 00:30,6.179,10.761,
12/28/2016 01:00,5.975,10.712,
12/28/2016 01:30,5.898,10.687,
12/28/2016 02:00,6.051,10.663,
12/28/2016 02:30,6.204,10.712,
12/28/2016 03:00,5.847,10.712,
12/28/2016 03:30,6.051,10.736,
12/28/2016 04:00,6.179,10.761,
12/28/2016 04:30,5.847,10.785,
12/28/2016 05:00,6.026,10.81,
12/28/2016 05:30,6.179,10.81,
12/28/2016 06:00,5.975,10.834,
12/28/2016 06:30,5.949,10.883,
12/28/2016 07:00,6.102,10.883,
12/28/2016 07:30,6.179,10.907,
12/28/2016 08:00,5.924,10.907,
12/28/2016 08:30,6,10.932,
12/28/2016 09:00,6.179,10.956,
12/28/2016 09:30,5.847,10.956,
12/28/2016 10:00,5.975,11.005,
12/28/2016 10:30,6.102,11.029,
12/28/2016 11:00,6.026,11.078,
12/28/2016 11:30,5.949,11.151,
12/28/2016 12:00,6.179,11.2,
12/28/2016 12:30,5.975,11.248,
12/28/2016 13:00,5.975,11.297,
12/28/2016 13:30,6.204,11.346,
12/28/2016 14:00,5.872,11.394,
12/28/2016 14:30,6.077,11.443,
12/28/2016 15:00,5.975,11.467,
12/28/2016 15:30,5.975,11.443,
12/28/2016 16:00,6.179,11.443,
12/28/2016 16:30,5.872,11.419,
12/28/2016 17:00,5.975,11.394,
12/28/2016 17:30,6.179,11.394,
12/28/2016 18:00,5.949,11.346,
12/28/2016 18:30,5.949,11.321,
12/28/2016 19:00,6.128,11.297,
12/28/2016 19:30,5.924,11.273,
12/28/2016 20:00,5.924,11.2,
12/28/2016 20:30,6.077,11.175,
12/28/2016 21:00,6.179,11.151,
12/28/2016 21:30,5.847,11.127,
12/28/2016 22:00,6,11.102,
12/28/2016 22:30,6.128,11.078,
12/28/2016 23:00,6.026,11.078,
12/28/2016 23:30,5.847,11.053,
12/29/2016 00:00,6,11.005,
12/29/2016 00:30,6.102,10.956,
12/29/2016 01:00,6.102,10.907,
12/29/2016 01:30,5.924,10.834,
12/29/2016 02:00,5.872,10.81,
12/29/2016 02:30,6.026,10.761,
12/29/2016 03:00,6.153,10.736,
12/29/2016 03:30,5.898,10.761,
12/29/2016 04:00,5.924,10.761,
12/29/2016 04:30,6.051,10.785,
12/29/2016 05:00,6.179,10.81,
12/29/2016 05:30,5.975,10.834,
12/29/2016 06:00,5.847,10.858,
12/29/2016 06:30,6.026,10.858,
12/29/2016 07:00,6.179,10.883,
12/29/2016 07:30,5.949,10.883,
12/29/2016 08:00,5.924,10.883,
12/29/2016 08:30,6.077,10.907,
12/29/2016 09:00,6.051,10.907,
12/29/2016 09:30,5.847,10.907,
12/29/2016 10:00,5.949,10.932,
12/29/2016 10:30,6.077,10.932,
12/29/2016 11:00,6.179,10.932,
12/29/2016 11:30,6.051,10.907,
12/29/2016 12:00,5.821,10.883,
12/29/2016 12:30,5.975,10.858,
12/29/2016 13:00,6.102,10.858,
12/29/2016 13:30,6.179,10.858,
12/29/2016 14:00,5.975,10.858,
12/29/2016 14:30,5.847,10.858,
12/29/2016 15:00,5.975,10.858,
12/29/2016 15:30,6.128,10.883,
12/29/2016 16:00,6.128,10.907,
12/29/2016 16:30,5.898,10.907,
12/29/2016 17:00,5.898,10.883,
12/29/2016 17:30,6.026,10.907,
12/29/2016 18:00,6.128,10.907,
12/29/2016 18:30,6.153,10.932,
12/29/2016 19:00,5.821,10.932,
12/29/2016 19:30,6,10.932,
12/29/2016 20:00,6.153,10.932,
12/29/2016 20:30,6.179,10.932,
12/29/2016 21:00,5.924,10.956,
12/29/2016 21:30,5.898,10.932,
12/29/2016 22:00,6,10.932,
12/29/2016 22:30,6.077,10.907,
12/29/2016 23:00,6.179,10.907,
12/29/2016 23:30,5.949,10.883,
12/30/2016 00:00,5.898,10.858,
12/30/2016 00:30,6.051,10.834,
12/30/2016 01:00,6.179,10.81,
12/30/2016 01:30,5.975,10.785,
12/30/2016 02:00,5.872,10.761,
12/30/2016 02:30,6.026,10.736,
12/30/2016 03:00,6.153,10.712,
12/30/2016 03:30,5.975,10.687,
12/30/2016 04:00,5.847,10.712,
12/30/2016 04:30,6.026,10.712,
12/30/2016 05:00,6.179,10.736,
12/30/2016 05:30,5.975,10.736,
12/30/2016 06:00,5.898,10.736,
12/30/2016 06:30,6.051,10.761,
12/30/2016 07:00,6.179,10.761,
12/30/2016 07:30,5.949,10.785,
12/30/2016 08:00,5.924,10.785,
12/30/2016 08:30,6.077,10.785,
12/30/2016 09:00,6.179,10.81,
12/30/2016 09:30,5.872,10.81,
12/30/2016 10:00,5.949,10.81,
12/30/2016 10:30,6.077,10.834,
12/30/2016 11:00,6.179,10.883,
12/30/2016 11:30,5.872,10.932,
12/30/2016 12:00,5.975,10.98,
12/30/2016 12:30,6.102,11.029,
12/30/2016 13:00,6.23,11.102,
12/30/2016 13:30,6.077,11.175,
12/30/2016 14:00,5.847,11.224,
12/30/2016 14:30,6,11.297,
12/30/2016 15:00,6.128,11.321,
12/30/2016 15:30,6.204,11.321,
12/30/2016 16:00,6.026,11.297,
12/30/2016 16:30,5.847,11.273,
12/30/2016 17:00,5.975,11.224,
12/30/2016 17:30,6.102,11.2,
12/30/2016 18:00,6.179,11.151,
12/30/2016 18:30,6.23,11.102,
12/30/2016 19:00,6.077,11.053,
12/30/2016 19:30,5.949,11.029,
12/30/2016 20:00,5.847,10.98,
12/30/2016 20:30,5.949,10.956,
12/30/2016 21:00,6.026,10.907,
12/30/2016 21:30,6.128,10.858,
12/30/2016 22:00,6.23,10.81,
12/30/2016 22:30,6.128,10.81,
12/30/2016 23:00,6.026,10.761,
12/30/2016 23:30,5.872,10.712,
12/31/2016 00:00,5.924,10.687,
12/31/2016 00:30,6.051,10.638,
12/31/2016 01:00,6.153,10.59,
12/31/2016 01:30,6.23,10.565,
12/31/2016 02:00,6.077,10.541,
12/31/2016 02:30,6,10.516,
12/31/2016 03:00,5.872,10.492,
12/31/2016 03:30,5.924,10.492,
12/31/2016 04:00,6.051,10.467,
12/31/2016 04:30,6.153,10.467,
12/31/2016 05:00,6.23,10.467,
12/31/2016 05:30,6.077,10.492,
12/31/2016 06:00,5.975,10.516,
12/31/2016 06:30,5.898,10.516,
12/31/2016 07:00,5.898,10.541,
12/31/2016 07:30,6.026,10.565,
12/31/2016 08:00,6.153,10.565,
12/31/2016 08:30,6.23,10.59,
12/31/2016 09:00,6.102,10.614,
12/31/2016 09:30,6,10.614,
12/31/2016 10:00,5.872,10.638,
12/31/2016 10:30,5.975,10.663,
12/31/2016 11:00,6.128,10.663,
12/31/2016 11:30,6.23,10.687,
12/31/2016 12:00,6.102,10.712,
12/31/2016 12:30,5.949,10.712,
12/31/2016 13:00,5.872,10.712,
12/31/2016 13:30,5.949,10.712,
12/31/2016 14:00,6.077,10.687,
12/31/2016 14:30,6.153,10.687,
12/31/2016 15:00,6.23,10.663,
