BAG,GROUP,COHORT,TREATMENT,TEMP,PH,SIZE-CLASS,BAG-WEIGHT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,7.41,13.81,14.54,13.53,7.73,12.55,12.37,5.35,6.17,9.41,7.53,10.42,3.6,14.77,7.35,8.7,10.49,9.92,10.8,5.95,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,9.15,6.18,5.16,4.98,10.32,11.53,8.5,9.43,8.08,5.29,6.91,10.88,7.36,7.89,6.21,6.18,4.81,15.62,12.32,13.04,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,12.39,11.13,14.86,17.11,11.81,11.69,17.46,10.36,12.62,10.55,10.8,8.12,11.57,7.68,9.9,13.07,12.51,11.46,10.25,14.05,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,9.21,10.64,7.49,13.51,7.63,5.13,10.06,5.87,14.83,11.92,8.99,12.66,6.79,13.73,14.05,11.28,8.8,7.45,14.47,5.61,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,9.78,12.36,6.92,11.64,10.49,12.86,12.21,10.01,8.62,9.27,6.98,10.23,12.45,10.08,15.05,9.65,7.22,5.12,5.02,7.32,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,11.58,12.93,16.03,16.98,8.4,10.24,11.75,8.76,4.51,9.2,9.31,10.38,10.45,11.04,7.96,9.21,9.18,5.63,7.94,7.5,,,,,,,
NA,NF10-LOW,NF,10-LOW,10,LOW,NA,NA,5.86,7.85,15.82,14.53,18.13,14.53,15.05,17.23,24.4,7.23,5.36,14.89,5.16,21.74,22.76,19.64,18.35,19.26,20.08,20.82,,,,,,,
NA,NF10-LOW,NF,10-LOW,10,LOW,NA,NA,16.61,24.13,16.69,21.58,17.39,15.76,17.25,16.47,16.12,15.68,14.05,13.95,14.83,13.06,13.1,12.73,18.19,16,13.5,10.78,,,,,,,
NA,NF10-LOW,NF,10-LOW,10,LOW,NA,NA,5.82,13.74,14.14,13.05,8.79,13.18,11.7,10.79,9.6,8.89,8.04,7.94,9.41,10.44,10.35,9.96,10.42,6.73,7.87,7.05,,,,,,,
NA,NF10-LOW,NF,10-LOW,10,LOW,NA,NA,8.33,7.49,6.46,4.82,9.72,3.86,4.52,7.83,4.31,4.64,6.86,5.38,6.32,5.95,,,,,,,,,,,,,
AVERAGE,NF6-AMB ,NF,6-AMB,6,AMBIENT,AVERAGE,,18.33,5.17,9.06,11.26,6.85,13,10.07,<3,12.6,8.37,9.37,8.9,5.27,8.12,11.16,11.24,10.43,9.86,7,6.46,5.88,7.72,4.05,4.55,<3,3.52,
1,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,3.4,9.56,10.01,9.15,12.91,9.75,9.56,10.68,11.2,9.01,16.34,9.98,14.22,17.23,10.61,13.51,,,,,,,,,,,,
2,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,2.7,13,13.36,9.76,9.3,11.32,11.52,9.8,11.31,9.68,11.05,10.27,8.89,11.99,14.63,11.51,,,,,,,,,,,,
3,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,2.7,13,12.17,11.43,11.52,11.95,9.19,9.22,10.96,9.83,9.53,9.89,9.54,12.7,12.83,14,,,,,,,,,,,,
4,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,3.1,12.83,14.45,12.57,14.2,12.49,10.15,11.82,9.24,9.23,9.14,8.95,13.85,12.54,13.5,15.53,,,,,,,,,,,,
5,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,3,11.71,14.01,12.74,10.81,13.23,12.99,9.92,9.92,10.28,12.92,10.24,9.22,9.2,15.15,12.28,,,,,,,,,,,,
6,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,2.7,13.63,15.21,12.48,9.91,11.21,10.66,9.04,9.58,9.2,9.05,12.83,10.73,10.75,9.54,9,,,,,,,,,,,,
7,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.7,7.18,6.87,5.72,4.77,4.34,5.12,7.34,5.69,7.81,7.14,7.45,8.17,7.71,6.17,6.68,,,,,,,,,,,,
8,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.6,6.38,6.04,6.16,5.59,5.46,4.78,4.58,5.46,6.63,7.29,7.37,8.09,7.5,5.41,7.99,,,,,,,,,,,,
9,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.7,6.74,8.02,7.78,7.45,5.85,7.61,4.9,4.19,7.32,6.82,7.38,6.17,4.25,6.78,7,,,,,,,,,,,,
10,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.8,6.67,8.13,7.73,8.41,8.36,5.32,5.71,7.32,4.42,5.15,7.14,7.6,8.35,7.9,7.88,,,,,,,,,,,,
11,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.7,6.13,8.51,8.54,8.19,5.58,6.59,5.46,4.87,8.54,8.17,7.93,6.17,7.34,5.46,5.78,,,,,,,,,,,,
12,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,,7.9,7.18,7.4,8.14,8.32,8.09,8.21,8.6,6.76,3.97,5.84,4.99,6.99,5.37,7.75,,,,,,,,,,,,
37,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,1,7.82,8.49,8.31,6.6,8.21,7.89,5.83,7.63,8.58,7.03,8.61,6.2,6.08,5.1,7.53,,,,,,,,,,,,
38,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.8,8.48,7.12,7.51,6.83,5.62,4.21,6.7,5.79,6.95,5.87,6.37,7.72,6.24,8.59,8.11,,,,,,,,,,,,
39,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.7,7.12,7.87,6.16,4.21,7.71,7.02,5.9,6.82,8.22,7.43,7.4,7.17,6.2,5.36,7.92,,,,,,,,,,,,
40,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.7,7.58,7.41,7.61,6.32,7.48,7.13,7.91,5.73,6.53,6.61,5.48,6.72,7.19,8.47,7.88,,,,,,,,,,,,
41,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.7,5.42,6.69,8.36,4.86,8.29,8.26,8.2,6.48,7.36,7.09,8.38,5.93,8.14,5.5,6.56,,,,,,,,,,,,
42,NF6-AMB ,NF,6-AMB,6,AMBIENT,SMALL,0.7,6.06,7.27,7.38,7.19,6.25,6.9,6.35,6.48,7.36,7.09,8.38,5.93,8.14,5.5,6.56,,,,,,,,,,,,
43,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,3.3,9.1,9.83,12.3,17.12,11.67,10.89,10.43,12.07,8.84,10.28,10.53,15.01,12.31,11.81,10.58,,,,,,,,,,,,
44,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,2.2,9.06,11.2,10.51,9.98,12.37,10.54,9.65,10,8.82,10.9,10.73,9,9.08,13.04,12.46,,,,,,,,,,,,
45,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,3,12.12,12.15,11.72,10.11,9.67,9.65,13.68,14.93,13.68,11,15.59,10.61,11.14,9.26,13.19,,,,,,,,,,,,
46,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,2.6,8.77,13.71,9.54,9.82,14.5,13.37,9.8,9.82,10.35,10.91,9.65,11.65,8.96,10.8,10.9,,,,,,,,,,,,
47,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,2.6,13.87,9.35,11.42,12.85,10.42,12.95,13.85,9.04,10.34,12.94,9,9.15,10.84,12.86,12.11,,,,,,,,,,,,
48,NF6-AMB ,NF,6-AMB,6,AMBIENT,LARGE,2.8,14.51,8.83,8.7,9.39,9.98,9.71,10.18,16.05,17.2,10.31,9.95,9.57,8.93,11.96,9.6,,,,,,,,,,,,
AVERAGE,NF6-LOW,NF,6-AMB,6,AMBIENT,AVERAGE,,17.37,12.1,4.48,3.85,6.46,3.82,10.47,14.41,9.36,6.64,5.54,10.44,9,9.75,4.23,3.4,5.3,10.91,4.69,3.94,3.2,<3,6.66,6.32,6.22,3.73,4.52
13,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.5,4.01,3.69,6.26,5.13,6.37,5.27,3.44,4.72,6.79,6.31,4.56,5.42,5.3,5.43,4.34,,,,,,,,,,,,
14,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.4,5.32,6.41,5.74,6.45,5.48,5.72,5.19,5.36,5.31,4.39,4.9,3.71,6.35,4.21,5.27,,,,,,,,,,,,
15,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.4,6.47,5.42,7.04,5.57,6.38,6.52,5.13,5.12,5.5,5.14,5.13,4.72,6.7,5.54,6.75,,,,,,,,,,,,
16,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.4,5.66,4.89,6.85,4.98,5.53,5.67,5.21,4.04,4.55,6.88,6.58,5.37,7,4.8,4.23,,,,,,,,,,,,
17,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.4,4.3,6.8,5.23,5.75,4.5,4.09,5.08,5.2,4.42,5.82,6.06,5.76,6.34,4.35,5.01,,,,,,,,,,,,
18,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.4,5.42,4.08,4.26,5.99,5.19,6.95,5.28,6.95,6.31,5.06,6.06,4.31,5.1,6.37,6.17,,,,,,,,,,,,
19,NF6-LOW,NF,6-LOW,6,LOW,LARGE,2.7,17,15.79,11.55,11.52,10.54,9.23,9.61,9.38,8.64,10.13,7.75,9.22,7.47,7.75,10.96,,,,,,,,,,,,
20,NF6-LOW,NF,6-LOW,6,LOW,LARGE,3.6,13.45,12.05,9.06,10.01,8.29,9.91,10.12,9.13,11.34,16.7,19.04,10.59,13.46,11.89,9.5,,,,,,,,,,,,
21,NF6-LOW,NF,6-LOW,6,LOW,LARGE,4.4,9.24,8.75,7.88,15.09,10.63,13.92,12.59,9.54,9.19,18.7,11.56,16.56,12.16,15.75,16.04,,,,,,,,,,,,
22,NF6-LOW,NF,6-LOW,6,LOW,LARGE,3.2,9.71,10.16,16.59,16.04,9.41,8.4,10.59,8.78,7.45,12.29,14.76,11.45,11.51,10.1,8.86,,,,,,,,,,,,
23,NF6-LOW,NF,6-LOW,6,LOW,LARGE,3.4,7.31,7.68,11.32,13.07,11.91,8.76,7.48,7.68,12.07,8.83,9.31,12.53,14.02,11.44,13.26,8.03,,,,,,,,,,,
24,NF6-LOW,NF,6-LOW,6,LOW,LARGE,3.3,10.51,8.55,8.94,8.53,17.93,10.49,7.26,11.36,8.16,12.51,9.07,8.74,9.83,12.04,12.11,,,,,,,,,,,,
25,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.4,6.37,5.47,7.14,6.04,4.54,4.2,5.13,5.44,4.85,4.49,4.19,4.64,6.88,6.03,5.68,,,,,,,,,,,,
26,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.4,5.96,5.06,5.86,7.13,6.57,5.9,5.34,4.87,6.24,4.9,6.24,5.11,5.36,4.7,5.73,5.4,6.35,,,,,,,,,,
27,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.4,6.21,5.4,5.38,5.23,4.92,5.43,5.54,5.4,6.63,6.34,5.83,5.57,4.27,4.3,5.48,,,,,,,,,,,,
28,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.6,6.26,6.34,6.3,6.92,6.57,6.86,5.7,5.57,5.74,6.33,6.06,7.04,5.73,5.98,6.45,,,,,,,,,,,,
29,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.5,6.58,6.11,5.95,5.38,7.12,5.3,6.71,5.6,5.2,6.57,4.91,4.74,5.93,5.23,5.33,,,,,,,,,,,,
30,NF6-LOW,NF,6-LOW,6,LOW,SMALL,0.7,7.03,5.26,6.02,6.14,6.3,6.97,5.78,6.55,5.21,6.39,6.67,6.72,5.82,5.62,6.89,,,,,,,,,,,,
31,NF6-LOW,NF,6-LOW,6,LOW,LARGE,3.7,14.26,13.18,15.07,12.68,9.5,9.08,10.8,7.35,11.54,10.2,8.65,11.27,16.06,14.96,10.79,,,,,,,,,,,,
32,NF6-LOW,NF,6-LOW,6,LOW,LARGE,2.7,8.58,9.54,14,9.37,7.49,8.5,10.1,7.49,16.69,7.27,12.7,7.54,9.68,15.98,10.28,,,,,,,,,,,,
33,NF6-LOW,NF,6-LOW,6,LOW,LARGE,3,10.14,9.77,11.32,10.69,8.99,18.62,7.39,13.92,11.53,11.27,9.9,7.96,9.07,8.81,9.8,,,,,,,,,,,,
34,NF6-LOW,NF,6-LOW,6,LOW,LARGE,3.9,7.84,7.44,18.14,15.06,11.99,11.62,16.66,9.16,10.85,14.88,13.85,8.41,14.12,11.54,9.54,,,,,,,,,,,,
35,NF6-LOW,NF,6-LOW,6,LOW,LARGE,5.2,16.03,15.3,10.61,10.04,8.83,8.36,12.48,16.64,18.41,16.47,13,12.74,15.71,10.84,9.72,,,,,,,,,,,,
36,NF6-LOW,NF,6-LOW,6,LOW,LARGE,2.4,10.9,14.33,14.77,9.85,10.26,11.93,7.24,7.66,10.21,8.3,7.7,9.17,11.11,12.08,11.45,,,,,,,,,,,,
NA,SN10-AMB,SN,10-AMB,10,AMBIENT,NA,NA,19.91,15.73,19.86,9.87,19.65,15.89,16.81,14.33,16.4,11.62,7.94,11.02,13.24,12.59,14.01,11.83,11.08,9.12,12.36,13.82,,,,,,,
NA,SN10-AMB,SN,10-AMB,10,AMBIENT,NA,NA,13.32,13.85,11.89,10.69,8.45,11.3,11.01,5.05,6.12,7.64,11.75,10.17,8.68,8,9.45,9.75,8.49,8.83,8.61,8.93,,,,,,,
NA,SN10-AMB,SN,10-AMB,10,AMBIENT,NA,NA,6.53,5.08,7.68,5.56,5.55,9.15,9.14,,,,,,,,,,,,,,,,,,,,
NA,SN10-LOW,SN,10-LOW,10,LOW,NA,NA,16.57,17.22,16.54,15.33,2.55,14.46,13.49,21.56,13.18,18.85,11.26,13.27,10.4,8.96,9.94,11.84,14.51,11.34,13.54,10.85,,,,,,,
NA,SN10-LOW,SN,10-LOW,10,LOW,NA,NA,9.16,15.72,10.27,7.6,7.36,7.69,6.43,,,,,,,,,,,,,,,,,,,,
,SN6-AMB,SN,6-AMB,6,AMBIENT,AVERAGE,,11.96,14.43,15.52,9.19,7.97,12.62,7.1,20.13,12.27,14.58,11.84,9.14,15.22,5.4,11.14,7.35,15.85,11.62,9.11,11.17,11.12,11,11.97,6.36,10.44,,
97,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.6,10.21,10.18,9.05,10.86,6.44,,,,,,,,,,,,,,,,,,,,,,
98,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.5,8.37,7.51,10.02,5.43,11.18,,,,,,,,,,,,,,,,,,,,,,
99,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.7,7.76,11.61,9.96,10.16,6.01,,,,,,,,,,,,,,,,,,,,,,
100,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.6,7.49,7.27,10.97,9.63,10.3,,,,,,,,,,,,,,,,,,,,,,
101,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.5,8.71,9.08,8.78,10.97,9.57,,,,,,,,,,,,,,,,,,,,,,
102,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.4,7.56,7.52,10.09,5.93,8.7,,,,,,,,,,,,,,,,,,,,,,
103,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.4,8.88,9.05,10.56,7.12,6.28,,,,,,,,,,,,,,,,,,,,,,
104,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.7,11.27,11.24,7.94,9.29,9.14,,,,,,,,,,,,,,,,,,,,,,
105,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.5,11.21,10.14,4.05,10.26,7.99,,,,,,,,,,,,,,,,,,,,,,
106,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.7,8.58,8.06,8.48,9.66,10.46,,,,,,,,,,,,,,,,,,,,,,
107,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.3,5.72,6.83,8.64,10.29,4.72,,,,,,,,,,,,,,,,,,,,,,
108,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.4,7.29,5.26,7.03,11.17,9.43,,,,,,,,,,,,,,,,,,,,,,
109,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,1.4,15.63,11.81,14.34,11.5,11.93,,,,,,,,,,,,,,,,,,,,,,
110,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,1.9,12.21,12.4,20.19,12.26,18.89,,,,,,,,,,,,,,,,,,,,,,
111,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,2.1,12.26,15.12,11.74,16.74,17.45,,,,,,,,,,,,,,,,,,,,,,
112,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,2.3,18.43,17.23,11.49,16.66,13.71,,,,,,,,,,,,,,,,,,,,,,
113,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,2.2,13.51,14.05,13.18,15.83,16.96,,,,,,,,,,,,,,,,,,,,,,
114,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,2.3,15.54,14.77,13.76,19.13,15.45,,,,,,,,,,,,,,,,,,,,,,
115,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,1.5,14.45,12.15,14.47,12.35,12.31,,,,,,,,,,,,,,,,,,,,,,
116,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,2.1,11.53,17.78,13.91,14.1,16.1,,,,,,,,,,,,,,,,,,,,,,
117,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,1.5,11.51,11.76,12.09,13.06,14.35,,,,,,,,,,,,,,,,,,,,,,
118,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE,1.9,12.87,13.96,15.69,12.77,14.93,,,,,,,,,,,,,,,,,,,,,,
119,SN6-AMB,SN,6-AMB,6,AMBIENT,LARGE/SMALL,1.5,18.32,12.5,11.83,10.7,10.06,,,,,,,,,,,,,,,,,,,,,,
120,SN6-AMB,SN,6-AMB,6,AMBIENT,SMALL,0.3,9.62,8.55,7.57,8.93,4.78,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,SN6-LOW,SN,6-LOW,6,LOW,AVERAGE,,18.27,13.9,14.73,7.85,10.22,17.39,14.99,11.32,9.02,8.51,5.48,5.31,17.35,7.15,10.8,11.9,10.76,7.55,8.88,7.26,13.59,4.93,13.01,9.4,11.49,,
121,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.5,9.46,7.75,9.94,9.9,7.69,,,,,,,,,,,,,,,,,,,,,,
122,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.5,7.65,10.71,10.49,4.71,8.76,,,,,,,,,,,,,,,,,,,,,,
123,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.5,8.82,10.12,7.66,7.34,10.69,,,,,,,,,,,,,,,,,,,,,,
124,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.4,10.43,7.92,7.86,5.31,8.97,,,,,,,,,,,,,,,,,,,,,,
125,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.3,5.71,5.9,8.22,7.25,5.35,,,,,,,,,,,,,,,,,,,,,,
126,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.3,10.3,9.66,6.35,7.35,8.9,,,,,,,,,,,,,,,,,,,,,,
127,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.5,9.45,6.3,5.87,10.75,7.97,,,,,,,,,,,,,,,,,,,,,,
128,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.6,8.42,10.7,8.65,10.65,10.2,,,,,,,,,,,,,,,,,,,,,,
129,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.3,8.37,6.69,6.84,9.77,7.05,,,,,,,,,,,,,,,,,,,,,,
130,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.3,9.04,8.65,7.83,6.31,9.53,,,,,,,,,,,,,,,,,,,,,,
131,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.4,9.94,8.16,5.87,7.51,6.1,,,,,,,,,,,,,,,,,,,,,,
132,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.4,9.36,9.71,7.94,7.22,6.7,,,,,,,,,,,,,,,,,,,,,,
133,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.3,9.76,7.98,5.24,6.61,9.09,,,,,,,,,,,,,,,,,,,,,,
134,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.4,5.66,9.56,7.63,9.01,7.22,,,,,,,,,,,,,,,,,,,,,,
135,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.4,5.73,9.98,7.77,6.03,8.7,,,,,,,,,,,,,,,,,,,,,,
136,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.5,8.67,6.9,10.41,6.86,8.66,,,,,,,,,,,,,,,,,,,,,,
137,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.4,8.51,9.85,10.43,7.99,6,,,,,,,,,,,,,,,,,,,,,,
138,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.5,9.05,8.89,9.82,9.27,8.15,,,,,,,,,,,,,,,,,,,,,,
139,SN6-LOW,SN,6-LOW,6,LOW,SMALL,0.4,6.5,10.35,5.85,9.83,7.65,,,,,,,,,,,,,,,,,,,,,,
140,SN6-LOW,SN,6-LOW,6,LOW,LARGE,2,12.87,18.55,13.97,14.06,13.71,,,,,,,,,,,,,,,,,,,,,,
141,SN6-LOW,SN,6-LOW,6,LOW,LARGE,2,17.45,11.96,11.22,14.85,11.99,11.98,2 ATTACHED TO EACH OTHER,,,,,,,,,,,,,,,,,,,,
142,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.5,11.26,11.03,17.46,12.1,13.07,,,,,,,,,,,,,,,,,,,,,,
143,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.5,14.39,14.78,11.38,14.34,13.62,,,,,,,,,,,,,,,,,,,,,,
144,SN6-LOW,SN,6-LOW,6,LOW,LARGE,2,13.2,15.89,15.05,17.33,15.5,,,,,,,,,,,,,,,,,,,,,,
145,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.5,11.72,15.47,15.44,12.98,12.43,,,,,,,,,,,,,,,,,,,,,,
146,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.6,13.68,13.48,15.94,12.3,11.93,,,,,,,,,,,,,,,,,,,,,,
147,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.6,17.68,13.67,10.99,13.92,11.56,,,,,,,,,,,,,,,,,,,,,,
148,SN6-LOW,SN,6-LOW,6,LOW,LARGE,2,19.35,12.68,13.67,16.77,13.6,,,,,,,,,,,,,,,,,,,,,,
149,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.1,14,11.22,13.1,12.48,12.22,,,,,,,,,,,,,,,,,,,,,,
150,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.9,11.83,14.58,17.79,13.98,12.76,,,,,,,,,,,,,,,,,,,,,,
151,SN6-LOW,SN,6-LOW,6,LOW,LARGE,2,18.07,13.06,12.4,15.34,12.62,,,,,,,,,,,,,,,,,,,,,,
152,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.3,13.62,14.94,10.94,13.69,13.84,,,,,,,,,,,,,,,,,,,,,,
153,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.3,15.69,11.98,13.14,12.04,12.63,,,,,,,,,,,,,,,,,,,,,,
154,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.3,15.63,11.03,12.08,13.5,12.04,,,,,,,,,,,,,,,,,,,,,,
155,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.8,16.36,14.71,11.74,16.38,12.41,,,,,,,,,,,,,,,,,,,,,,
156,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.3,12.14,11.4,12.71,12.07,18.01,,,,,,,,,,,,,,,,,,,,,,
157,SN6-LOW,SN,6-LOW,6,LOW,LARGE,2.2,14.27,11.43,14.7,15.37,20.57,,,,,,,,,,,,,,,,,,,,,,
158,SN6-LOW,SN,6-LOW,6,LOW,LARGE,1.5,17.12,13.36,13.98,15,6.94,8.87,,,,,,,,,,,,,,,,,,,,,
NA,K10-LOW,K,10-LOW,10,LOW,NA,NA,17.12,15.68,19.9,16.1,16.08,14.64,16.2,10.15,16.08,16.55,15,16.5,19.23,21.6,20.95,19.3,16.6,17.38,18.46,17.15,,,,,,,
NA,K10-LOW,K,10-LOW,10,LOW,NA,NA,17.05,17.16,20.75,20.9,18.9,21.65,15.58,17.1,19.4,15.3,16.68,16.25,16.55,19.7,18.15,14.6,15.6,13.4,13.65,15.75,,,,,,,
NA,K10-LOW,K,10-LOW,10,LOW,NA,NA,13.95,14.45,18.62,16.25,17.3,13.4,13.7,13.3,13.52,14.5,15.32,15.05,14.75,14.2,11.95,13,9.15,15.6,15.8,20.45,,,,,,,
NA,K10-LOW,K,10-LOW,10,LOW,NA,NA,13.45,12.75,14.48,12,12.73,10.05,11.35,11.55,10.75,12.35,11.9,13.02,10.12,8.88,8.85,11.78,9.1,9.8,12.95,8.05,,,,,,,
NA,K10-LOW,K,10-LOW,10,LOW,NA,NA,4.05,9.42,10.69,9.6,9.52,7.4,8.4,6.7,8.4,0.9,8.5,8.82,7.48,6.7,7.66,10.1,5.98,6.4,5.05,5.6,,,,,,,
NA,K10-LOW,K,10-LOW,10,LOW,NA,NA,3.3,6.58,7.68,,,,,,,,,,,,,,,,,,,,,,,,
NA,K10-AMB,K,10-AMB,10,AMBIENT,NA,NA,13.75,14,10.5,14.3,17.1,17.2,11.68,14,18.91,12.85,7.52,8.5,10.95,4.05,7.08,12.88,13.97,13,16.25,16.58,,,,,,,
NA,K10-AMB,K,10-AMB,10,AMBIENT,NA,NA,10.92,11.3,9,7.45,10.2,13,11.28,9.6,12.58,12.8,13.1,17.8,8.18,10.5,9.7,12,5.58,6.52,6.65,11.88,,,,,,,
NA,K10-AMB,K,10-AMB,10,AMBIENT,NA,NA,9.85,13.85,15.1,10.9,9.55,7.55,5.7,12.25,18.7,11.52,13.1,11.42,9.48,8.82,6.82,10.35,4.9,13.25,10.6,9.6,,,,,,,
NA,K10-AMB,K,10-AMB,10,AMBIENT,NA,NA,15.4,12.7,5.7,6.85,6.1,10.25,10.58,11.95,13.15,8.05,5.78,11.5,8.68,8.1,6.7,6.55,11.97,14.2,6.3,7,,,,,,,
NA,K10-AMB,K,10-AMB,10,AMBIENT,NA,NA,5.48,9.85,5.35,3.4,9.15,4.95,11.7,10.22,6.05,14.22,16.6,16.8,11.9,9.35,6.2,17.6,7.4,18.1,12.9,8.05,,,,,,,
NA,NF6-AMB,NF,6-AMB,6,AMBIENT,NA,NA,10.85,6.6,8.19,7.75,9.9,7.75,10.5,4.39,7.62,5.55,9.8,9.7,6.6,4.1,7.4,8.15,9.2,5.2,9.85,8,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,9.82,5.82,15.8,5.03,8.29,9.1,7.69,4.8,3.2,10.2,5.1,12.05,5.82,6.35,5.92,4.7,8.2,6.6,4.85,3.7,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,3.9,7.8,9.05,7.68,11.45,8.15,6.1,7.4,4.75,7.95,5,7.69,7.3,8.29,6.6,7.6,4.3,4.4,5.6,4.35,,,,,,,
