BAG,GROUP,COHORT,TREATMENT,TEMP,PH,SIZE-CLASS,BAG-WEIGHT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27
65,HL6-AMB,HL,6-AMB,6,AMBIENT,LARGE,1.1,8.73,8.77,7.71,7.24,7.61,9.77,7.53,8.42,8.85,7,8.15,9.4,9.67,8.25,10.43,,,,,,,,,,,,
66,HL6-AMB,HL,6-AMB,6,AMBIENT,LARGE,1,8.21,8.62,9.44,8.31,7.62,7.25,9.65,?,9.25,7.49,8.21,8.2,7.33,11.4,7.02,7.24,,,,,,,,,,,
67,HL6-AMB,HL,6-AMB,6,AMBIENT,LARGE,1.2,9.01,8.06,7.28,7.25,13.05,7.3,7.06,10.14,9.22,10.68,9.54,7.47,7.23,6.99,7.07,,,,,,,,,,,,
68,HL6-AMB,HL,6-AMB,6,AMBIENT,LARGE,1,7.41,7.5,7.33,6.98,7.26,7.28,8.21,9.9,9.61,8,7.13,8.01,8.13,7.15,9.62,,,,,,,,,,,,
69,HL6-AMB,HL,6-AMB,6,AMBIENT,LARGE,1.3,10.03,10.11,10.65,8.1,8.43,7.13,10.28,7.02,6.99,7.44,8.43,7.51,7.94,10.2,7.82,,,,,,,,,,,,
70,HL6-AMB,HL,6-AMB,6,AMBIENT,LARGE,1.3,7.36,8.49,10.98,8.33,11.94,10.97,7.37,7.75,7.98,8.2,7.54,8.3,8.92,8.45,7.97,,,,,,,,,,,,
71,HL6-AMB,HL,6-AMB,6,AMBIENT,LARGE,1.1,9.29,9.13,8.55,8.17,9.58,7.97,9.13,7.67,7.94,7.27,9.03,7.4,7.44,7.65,9.62,,,,,,,,,,,,
72,HL6-AMB,HL,6-AMB,6,AMBIENT,LARGE,0.9,7.83,8.07,7.91,7,7.83,7.93,7.35,7.62,8.07,7.69,10.61,7.63,8.53,7.79,8.22,,,,,,,,,,,,
NA,HL6-AMB,HL,6-AMB,6,AMBIENT,NA,NA,7.82,4.85,8.69,6.28,8.99,7.03,6.47,6.18,7.23,6.43,7.63,5.88,6.58,6.48,6.66,6.97,6.92,6.06,7.07,5.77,,,,,,,
NA,HL6-AMB,HL,6-AMB,6,AMBIENT,NA,NA,7.12,6.79,5.63,6.34,6.48,4.64,4.8,5.17,5.43,4.96,3.8,4.57,5.23,3.37,3.86,4.58,4.46,6.32,8.31,3.83,,,,,,,
NA,HL6-AMB,HL,6-AMB,6,AMBIENT,NA,NA,5.99,5.27,6.11,4.51,3.52,4.45,6.38,4.35,5.66,4.5,4,3.54,4.44,3.46,5.21,2.15,3.53,6.14,3.65,4.56,,,,,,,
NA,HL6-AMB,HL,6-AMB,6,AMBIENT,NA,NA,3.68,7.18,6.32,4.85,2.67,7.01,3.92,4.56,3.43,4.17,3.33,5.69,5.78,5.14,5.44,4.48,6.91,5.3,5.31,5.92,,,,,,,
NA,HL6-AMB,HL,6-AMB,6,AMBIENT,NA,NA,5.26,3.56,6.38,6.95,4.17,7.04,6.77,3.3,4.86,3.71,4.32,3.68,5.08,7.02,2.77,2.81,5.69,6.43,4.52,3.86,,,,,,,
