Date,Screened?,3.Stocked,3.Counted,3.Total, 3.Survival ,12.Stocked,12.Counted,12.Total, 12.Survival ,8.Stocked,8.Counted,8.Total, 8.Survival ,10.Stocked,10.Counted,10.Total, 10.Survival ,5.Stocked,5.Counted,5.Total, 5.Survival ,7.Stocked,7.Counted,7.Total, 7.Survival ,16.Stocked,16.Counted,16.Total, 16.Survival ,13.Stocked,13.Counted,13.Total, 13.Survival ,19.Stocked,19.Counted,19.Total, 19.Survival ,21.Stocked,21.Counted,21.Total, 21.Survival ,24.Stocked,24.Counted,24.Total, 24.Survival ,23.Stocked,23.Counted,23.Total, 23.Survival ,22.Stocked,22.Counted,22.Total, 22.Survival ,18.Stocked,18.Counted,18.Total, 18.Survival ,17.Stocked,17.Counted,17.Total, 17.Survival ,20.Stocked,20.Counted,20.Total, 8.Survival ,1.Stocked,1.Counted,1.Total, 8.Survival ,9.Stocked,9.Counted,9.Total,,11.Stocked,11.Counted,11.Total,,4.Stocked,4.Counted,4.Total
5/19/17,N, -   , -   , -   ,, -   , -   , -   ,,350, -   ,350,, -   , -   , -   ,,80640, -   ,80640,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,11917, -   ,11917,,2042, -   ,2042,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
5/20/17,N, -   , -   , -   ,, -   , -   , -   ,, -   , -   ,350,, -   , -   , -   ,,124960, -   ,205600,,187333, -   ,187333,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,108000, -   ,108000,, -   , -   ,11917,,89667, -   ,91708,, -   , -   , -   ,,11867, -   ,11867,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
5/21/17,N, -   , -   , -   ,,55300, -   ,55300,, -   , -   ,350,, -   , -   , -   ,, -   , -   ,205600,,53833, -   ,241167,,8167, -   ,8167,,99433, -   ,99433,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,13250, -   ,121250,, -   , -   ,11917,, -   , -   ,91708,,53900, -   ,53900,, -   , -   ,11867,, -   , -   , -   ,,144733, -   ,144733,, -   , -   , -   
5/22/17,N, -   , -   , -   ,,583, -   ,55883,,467, -   ,817,, -   , -   , -   ,, -   , -   ,205600,, -   , -   ,241167,,24500, -   ,32667,,51000, -   ,150433,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,625, -   ,121875,, -   , -   ,11917,, -   , -   ,91708,,1800, -   ,55700,, -   , -   ,11867,, -   , -   , -   ,,3400, -   ,148133,, -   , -   , -   
5/23/17,Y, -   , -   , -   ,,2267,49600,51867,, -   , -   ,817,, -   , -   , -   ,, -   ,145600,205600,,33800,189000,274967,,65333,35533,98000,,1000,135800,136800,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   ,124133,121875,,52733,15400,64650,, -   ,82333,91708,,49100,55333,104433,, -   ,10000,10000,, -   , -   , -   ,,21867,121667,143533,, -   , -   , -   
5/24/17,N, -   , -   , -   ,,52350, -   ,104217,, -   , -   ,817,, -   , -   , -   ,, -   , -   ,205600,, -   , -   ,274967,,4500, -   ,102500,, -   , -   ,136800,,51467, -   ,51467,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,24150, -   ,146025,,50000, -   ,114650,, -   , -   ,91708,,22833, -   ,127267,, -   , -   ,10000,, -   , -   , -   ,, -   , -   ,143533,,59600, -   ,59600
5/25/17,N,69750, -   ,69750,, -   , -   ,104217,,10800, -   ,11617,,76950, -   ,76950,, -   , -   ,205600,, -   , -   ,274967,, -   , -   ,102500,, -   , -   ,136800,,26320, -   ,77787,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,31207, -   ,177232,,3400, -   ,118050,, -   , -   ,91708,, -   , -   ,127267,, -   , -   ,10000,, -   , -   , -   ,, -   , -   ,143533,, -   , -   ,59600
5/26/17,Y, -   ,69867,69750, 1.002 , -   ,88000,104217, 0.844 ,54367,12000,65983, 1.033 ,35700,100100,135800, 1.301 , -   ,112000,112000, 0.545 , -   ,179400,274967, 0.652 , -   ,97600,102500, 0.952 , -   ,97600,97600, 0.713 ,2800,71467,80587, 0.919 ,44200, -   ,44200,#VALUE!, -   , -   , -   ,#VALUE!, -   , -   , -   ,#VALUE!, -   ,86933,177232, 0.491 ,10000,80000,128050, 0.678 , -   ,20667,91708, 0.225 ,4267,71400,75667, 0.561 , -   , -   , -   ,#VALUE!,57867,62667,120533,, -   ,118400,118400,, -   , -   , -   
5/27/17,N,4917, -   ,74667,,4958, -   ,109175,,10625, -   ,76608,,8017, -   ,143817,, -   , -   ,112000,, -   , -   ,274967,,1400, -   ,103900,,85867, -   ,183467,, -   , -   ,80587,,117867, -   ,162067,, -   , -   , -   ,, -   , -   , -   ,, -   , -   ,177232,,21600, -   ,149650,, -   , -   ,91708,, -   , -   ,75667,, -   , -   , -   ,,52250, -   ,172783,, -   , -   ,118400,, -   , -   , -   
5/28/17,N, -   , -   ,74667,, -   , -   ,109175,, -   , -   ,76608,, -   , -   ,143817,, -   , -   ,112000,, -   , -   ,274967,, -   , -   ,103900,, -   , -   ,183467,, -   , -   ,80587,, -   , -   ,162067,, -   , -   , -   ,, -   , -   , -   ,, -   , -   ,177232,, -   , -   ,149650,, -   , -   ,91708,, -   , -   ,75667,, -   , -   , -   ,, -   , -   ,172783,, -   , -   ,118400,, -   , -   , -   
5/29/17,N, -   , -   ,74667,, -   , -   ,109175,,53700, -   ,130308,, -   , -   ,143817,, -   , -   ,112000,, -   , -   ,274967,, -   , -   ,103900,, -   , -   ,183467,, -   , -   ,80587,, -   , -   ,162067,, -   , -   , -   ,, -   , -   , -   ,, -   , -   ,177232,, -   , -   ,149650,, -   , -   ,91708,, -   , -   ,75667,, -   , -   , -   ,,4500, -   ,177283,, -   , -   ,118400,, -   , -   , -   
5/30/17,Y, -   ,34667,34667, 0.464 , -   ,54933,54933, 0.503 , -   ,36800,36800, 0.282 , -   ,35200,35200, 0.245 , -   ,32667,32667, 0.292 , -   ,37867,37867, 0.138 , -   ,19733,19733, 0.190 , -   ,98667,98667, 0.538 , -   ,60267,60267, 0.748 , -   ,96533,96533, 0.596 , -   , -   , -   ,#VALUE!, -   , -   , -   ,#VALUE!, -   ,74133,74133, 0.418 , -   ,69867,69867, 0.467 , -   ,17600,17600, 0.192 , -   ,83200,83200, 1.100 , -   , -   , -   ,#VALUE!, -   ,77333,77333,, -   ,25600,25600,, -   , -   , -   
5/31/17,Y, -   ,16000,34667, 0.462 , -   ,13600,54933, 0.248 ,1333,67200,38133, 1.826 , -   ,16800,35200, 0.477 , -   ,1600,32667, 0.049 ,63000,10400,100867, 0.275 , -   ,400,19733, 0.020 ,41067,#VALUE!,139733,#VALUE!,72800,#VALUE!,133067,#VALUE!, -   ,50400,96533, 0.522 , -   , -   , -   ,#VALUE!, -   , -   , -   ,#VALUE!, -   ,72000,74133, 0.971 , -   ,53600,69867, 0.767 , -   ,16800,17600, 0.955 , -   ,20800,83200, 0.250 , -   , -   , -   ,#VALUE!, -   ,48800,77333,, -   ,3200,25600,, -   , -   , -   
6/1/17,N, -   , -   ,34667,,1467, -   ,56400,, -   , -   ,36800,, -   , -   ,35200,,79100, -   ,111767,, -   , -   ,100867,, -   , -   ,19733,,750, -   ,140483,, -   , -   ,133067,, -   , -   ,96533,, -   , -   , -   ,, -   , -   , -   ,,40533, -   ,114667,, -   , -   ,69867,,49867, -   ,67467,, -   , -   ,83200,, -   , -   , -   ,, -   , -   ,77333,, -   , -   ,25600,, -   , -   , -   
6/2/17,N, -   , -   ,34667,, -   , -   ,56400,, -   , -   ,38133,, -   , -   ,35200,, -   , -   ,111767,, -   , -   ,100867,, -   , -   ,19733,, -   , -   ,140483,, -   , -   ,133067,, -   , -   ,96533,, -   , -   , -   ,, -   , -   , -   ,, -   , -   ,114667,, -   , -   ,69867,, -   , -   ,67467,, -   , -   ,83200,, -   , -   , -   ,, -   , -   ,77333,, -   , -   ,25600,, -   , -   , -   
6/3/17,N,58727, -   ,93393,,51333, -   ,107733,, -   , -   ,38133,, -   , -   ,35200,,152093, -   ,263860,, -   , -   ,100867,,57417, -   ,77150,, -   , -   ,140483,, -   , -   ,133067,, -   , -   ,96533,, -   , -   , -   ,, -   , -   , -   ,,50267, -   ,164933,, -   , -   ,69867,,52650, -   ,120117,, -   , -   ,83200,, -   , -   , -   ,, -   , -   ,77333,, -   , -   ,25600,, -   , -   , -   
6/4/17,N,2933, -   ,96327,,1200, -   ,108933,, -   , -   ,38133,, -   , -   ,35200,, -   , -   ,263860,, -   , -   ,100867,, -   , -   ,77150,, -   , -   ,140483,, -   , -   ,133067,, -   , -   ,96533,, -   , -   , -   ,, -   , -   , -   ,, -   , -   ,164933,,57833, -   ,127700,, -   , -   ,120117,, -   , -   ,83200,, -   , -   , -   ,, -   , -   ,77333,, -   , -   ,25600,, -   , -   , -   
6/5/17,Y, -   ,108943,108943, 1.131 , -   ,47773,47773, 0.439 , -   ,53218,53218, 1.396 ,100000,7870,107870, 0.224 , -   ,138920,138920, 0.526 , -   ,39093,39093, 0.388 ,105933,38973,144907, 0.505 , -   ,95320,95320, 0.679 , -   ,88227,88227, 0.663 , -   ,70563,70563, 0.731 , -   , -   , -   ,#VALUE!, -   , -   , -   ,#VALUE!, -   ,89273,89273, 0.541 ,17307,96013,113320, 0.752 , -   ,64220,64220, 0.535 , -   ,2175,2175, 0.026 , -   , -   , -   ,#VALUE!, -   ,6940,6940,, -   , -   , -   ,, -   , -   , -   
6/6/17,N, -   , -   ,108943,, -   , -   ,47773,,37800, -   ,53218,,1587, -   ,109457,, -   , -   ,138920,, -   , -   ,39093,, -   , -   ,144907,, -   , -   ,95320,, -   , -   ,88227,, -   , -   ,70563,, -   , -   , -   ,, -   , -   , -   ,, -   , -   ,89273,, -   , -   ,113320,, -   , -   ,64220,, -   , -   ,2175,, -   , -   , -   ,, -   , -   ,6940,, -   , -   , -   ,, -   , -   , -   
6/7/17,N,77183, -   ,186127,, -   , -   ,47773,, -   , -   ,91018,, -   , -   ,109457,, -   , -   ,138920,, -   , -   ,39093,, -   , -   ,144907,, -   , -   ,95320,, -   , -   ,88227,, -   , -   ,70563,, -   , -   , -   ,,88167, -   ,88167,, -   , -   ,89273,, -   , -   ,113320,, -   , -   ,64220,,38750, -   ,40925,, -   , -   , -   ,, -   , -   ,6940,, -   , -   , -   ,, -   , -   , -   
6/8/17,N, -   , -   ,186127,, -   , -   ,47773,, -   , -   ,91018,, -   , -   ,109457,, -   , -   ,138920,, -   , -   ,39093,, -   , -   ,144907,, -   , -   ,95320,, -   , -   ,88227,, -   , -   ,70563,, -   , -   , -   ,,4392, -   ,92558,,25167, -   ,114440,, -   , -   ,113320,, -   , -   ,64220,,9067, -   ,49992,, -   , -   , -   ,, -   , -   ,6940,, -   , -   , -   ,, -   , -   , -   
6/9/17,Y, -   ,87147,87147, 0.468 , -   ,58427,58427, 1.223 , -   ,49513,49513, 0.544 , -   ,38750,38750, 0.354 , -   ,146167,146167, 1.052 , -   ,48000,48000, 1.228 , -   ,32667,32667, 0.225 , -   ,42217,42217, 0.443 , -   ,93467,93467, 1.059 , -   ,56247,56247, 0.797 , -   , -   , -   ,#VALUE!, -   ,64533,64533, 0.697 , -   ,83333,83333, 0.728 , -   ,56747,56747, 0.501 , -   ,46447,46447, 0.723 , -   ,55050,55050, 1.101 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/10/17,N, -   , -   ,87147,, -   , -   ,58427,, -   , -   ,49513,,61733, -   ,100483,, -   , -   ,146167,, -   , -   ,48000,, -   , -   ,32667,, -   , -   ,42217,, -   , -   ,93467,,54200, -   ,110447,, -   , -   , -   ,, -   , -   ,64533,, -   , -   ,83333,, -   , -   ,56747,,51467, -   ,97913,, -   , -   ,55050,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/11/17,N, -   , -   ,87147,, -   , -   ,58427,, -   , -   ,49513,, -   , -   ,100483,, -   , -   ,146167,, -   , -   ,48000,, -   , -   ,32667,, -   , -   ,42217,, -   , -   ,93467,, -   , -   ,110447,, -   , -   , -   ,, -   , -   ,64533,, -   , -   ,83333,, -   , -   ,56747,, -   , -   ,97913,, -   , -   ,55050,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/12/17,Y, -   ,82533,82533, 0.947 , -   ,47113,47113, 0.806 , -   ,43713,43713, 0.883 ,9400,69678,79078, 0.693 , -   ,107933,107933, 0.738 , -   ,35893,35893, 0.748 , -   ,37500,37500, 1.148 ,1400,53447,54847, 1.266 , -   ,72737,72737, 0.778 ,53333,82667,136000, 0.748 ,65667, -   ,65667,#VALUE!, -   ,70767,70767, 1.097 , -   ,62773,62773, 0.753 , -   ,23887,23887, 0.421 ,4200,90280,94480, 0.922 , -   ,47067,47067, 0.855 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/13/17,N, -   , -   ,82533,, -   , -   ,47113,, -   , -   ,43713,, -   , -   ,79078,, -   , -   ,107933,, -   , -   ,35893,, -   , -   ,37500,, -   , -   ,54847,, -   , -   ,72737,, -   , -   ,136000,, -   , -   ,65667,, -   , -   ,70767,, -   , -   ,62773,, -   , -   ,23887,, -   , -   ,94480,, -   , -   ,47067,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/14/17,N,57867, -   ,140400,, -   , -   ,47113,, -   , -   ,43713,, -   , -   ,79078,,39000, -   ,146933,,79567, -   ,115460,, -   , -   ,37500,,134800, -   ,189647,, -   , -   ,72737,, -   , -   ,136000,, -   , -   ,65667,, -   , -   ,70767,, -   , -   ,62773,, -   , -   ,23887,, -   , -   ,94480,, -   , -   ,47067,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/15/17,Y,47233,91117,138350, 0.649 , -   ,20650,20650, 0.438 , -   ,23917,23917, 0.547 , -   ,69490,69490, 0.879 ,48667,94067,142733, 0.640 ,48000,106633,154633, 0.924 ,58800,20542,79342, 0.548 ,45400,82467,127867, 0.435 , -   ,47760,47760, 0.657 , -   ,125458,125458, 0.922 , -   ,55333,55333, 0.843 ,483,28333,28817, 0.400 ,18167,52167,70333, 0.831 , -   ,3325,3325, 0.139 , -   ,64180,64180, 0.679 , -   ,32017,32017, 0.680 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/16/17,N, -   , -   ,138350,, -   , -   ,20650,, -   , -   ,23917,, -   , -   ,69490,, -   , -   ,142733,, -   , -   ,154633,, -   , -   ,79342,, -   , -   ,127867,, -   , -   ,47760,, -   , -   ,125458,, -   , -   ,55333,, -   , -   ,28817,, -   , -   ,70333,, -   , -   ,3325,, -   , -   ,64180,, -   , -   ,32017,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/17/17,N,667, -   ,139017,, -   , -   ,20650,, -   , -   ,23917,, -   , -   ,69490,,1167, -   ,143900,,1867, -   ,156500,,65333, -   ,144675,,59833, -   ,187700,, -   , -   ,47760,,31150, -   ,156608,, -   , -   ,55333,,111333, -   ,140150,,12800, -   ,83133,, -   , -   ,3325,, -   , -   ,64180,, -   , -   ,32017,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/18/17,N, -   , -   ,139017,, -   , -   ,20650,, -   , -   ,23917,, -   , -   ,69490,, -   , -   ,143900,, -   , -   ,156500,, -   , -   ,144675,, -   , -   ,187700,, -   , -   ,47760,, -   , -   ,156608,, -   , -   ,55333,, -   , -   ,140150,, -   , -   ,83133,, -   , -   ,3325,, -   , -   ,64180,, -   , -   ,32017,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/19/17,Y, -   ,68000,68000, 0.489 , -   ,1040,1040, 0.050 , -   ,18013,18013, 0.753 ,59640,64100,123740, 0.922 , -   ,83577,83577, 0.581 , -   ,53133,53133, 0.340 ,86020,48967,134987, 0.338 , -   ,45057,45057, 0.240 ,53457,20367,73823, 0.426 ,125,92493,92618, 0.591 , -   ,37067,37067, 0.670 ,50000,77333,127333, 0.552 , -   ,29833,29833, 0.359 ,13000,1167,14167, 0.351 ,51150,32050,83200, 0.499 , -   ,34500,34500, 1.078 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/20/17,N, -   , -   ,68000,, -   , -   ,1040,, -   , -   ,18013,, -   , -   ,123740,, -   , -   ,83577,, -   , -   ,53133,, -   , -   ,134987,, -   , -   ,45057,, -   , -   ,73823,, -   , -   ,92618,, -   , -   ,37067,, -   , -   ,127333,, -   , -   ,29833,, -   , -   ,14167,,52533, -   ,135733,, -   , -   ,34500,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/21/17,N, -   , -   ,68000,, -   , -   ,1040,, -   , -   ,18013,, -   , -   ,123740,, -   , -   ,83577,, -   , -   ,53133,, -   , -   ,134987,, -   , -   ,45057,, -   , -   ,73823,, -   , -   ,92618,, -   , -   ,37067,, -   , -   ,127333,, -   , -   ,29833,, -   , -   ,14167,, -   , -   ,135733,, -   , -   ,34500,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/22/17,Y, -   ,23100,23100, 0.340 , -   ,167,167, 0.161 ,33,6300,6333, 0.350 ,889,64283,65172, 0.520 , -   ,25592,25592, 0.306 ,867,52933,53800, 0.996 , -   ,74242,74242, 0.550 , -   ,23000,23000, 0.510 ,1564,39557,41121, 0.536 , -   ,75600,75600, 0.816 , -   ,28033,28033, 0.756 ,996,88433,89429, 0.695 , -   ,27300,27300, 0.915 , -   ,7877,7877, 0.556 ,193,73187,73380, 0.539 , -   ,27567,27567, 0.799 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/23/17,N, -   , -   ,23100,, -   , -   ,167,, -   , -   ,6333,, -   , -   ,65172,, -   , -   ,25592,, -   , -   ,53800,, -   , -   ,74242,, -   , -   ,23000,, -   , -   ,41121,, -   , -   ,75600,, -   , -   ,28033,, -   , -   ,89429,, -   , -   ,27300,, -   , -   ,7877,, -   , -   ,73380,, -   , -   ,27567,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/24/17,N, -   , -   ,23100,, -   , -   ,167,, -   , -   ,6333,, -   , -   ,65172,, -   , -   ,25592,,77567, -   ,131367,, -   , -   ,74242,, -   , -   ,23000,, -   , -   ,41121,,10000, -   ,85600,, -   , -   ,28033,, -   , -   ,89429,, -   , -   ,27300,, -   , -   ,7877,, -   , -   ,73380,, -   , -   ,27567,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/25/17,N, -   , -   ,23100,, -   , -   ,167,, -   , -   ,6333,, -   , -   ,65172,, -   , -   ,25592,, -   , -   ,131367,, -   , -   ,74242,, -   , -   ,23000,, -   , -   ,41121,, -   , -   ,85600,, -   , -   ,28033,, -   , -   ,89429,, -   , -   ,27300,, -   , -   ,7877,, -   , -   ,73380,, -   , -   ,27567,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/26/17,Y, -   ,8350,8350, 0.361 , -   ,247,247, 1.479 , -   ,3403,3403, 0.537 , -   ,46817,46817, 0.718 , -   ,450,450, 0.018 , -   ,28747,28747, 0.219 , -   ,34747,34747, 0.468 , -   ,6060,6060, 0.263 , -   ,23447,23447, 0.570 , -   ,45833,45833, 0.535 , -   ,27800,27800, 0.992 , -   ,26160,26160, 0.293 , -   ,11090,11090, 0.406 , -   ,6405,6405, 0.813 , -   ,40400,40400, 0.551 , -   ,17900,17900, 0.649 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/27/17,N, -   , -   ,8350,, -   , -   ,247,, -   , -   ,3403,, -   , -   ,46817,, -   , -   ,450,, -   , -   ,28747,, -   , -   ,34747,, -   , -   ,6060,, -   , -   ,23447,, -   , -   ,45833,, -   , -   ,27800,, -   , -   ,26160,, -   , -   ,11090,, -   , -   ,6405,, -   , -   ,40400,, -   , -   ,17900,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/28/17,N, -   , -   ,8350,, -   , -   ,247,, -   , -   ,3403,, -   , -   ,46817,, -   , -   ,450,, -   , -   ,28747,, -   , -   ,34747,, -   , -   ,6060,, -   , -   ,23447,, -   , -   ,45833,, -   , -   ,27800,, -   , -   ,26160,, -   , -   ,11090,, -   , -   ,6405,, -   , -   ,40400,, -   , -   ,17900,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/29/17,Y, -   ,21460,21460, 2.570 , -   ,82,82, 0.332 , -   ,1790,1790, 0.526 , -   ,31000,31000, 0.662 , -   ,1597,1597, 3.549 , -   ,25300,25300, 0.880 , -   ,6230,6230, 0.179 , -   ,2240,2240, 0.370 ,73800,11717,85517, 0.500 , -   ,12307,12307, 0.269 , -   ,19117,19117, 0.688 , -   ,44167,44167, 1.688 , -   ,7233,7233, 0.652 , -   ,2417,2417, 0.377 , -   ,45667,45667, 1.130 , -   ,19700,19700, 1.101 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
6/30/17,N, -   , -   ,21460,, -   , -   ,82,, -   , -   ,1790,, -   , -   ,31000,, -   , -   ,1597,, -   , -   ,25300,, -   , -   ,6230,, -   , -   ,2240,, -   , -   ,85517,, -   , -   ,12307,, -   , -   ,19117,, -   , -   ,44167,, -   , -   ,7233,, -   , -   ,2417,, -   , -   ,45667,, -   , -   ,19700,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/1/17,N, -   , -   ,21460,, -   , -   ,82,, -   , -   ,1790,, -   , -   ,31000,, -   , -   ,1597,, -   , -   ,25300,, -   , -   ,6230,, -   , -   ,2240,,1650, -   ,87167,, -   , -   ,12307,, -   , -   ,19117,, -   , -   ,44167,, -   , -   ,7233,, -   , -   ,2417,, -   , -   ,45667,, -   , -   ,19700,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/2/17,N, -   , -   ,21460,, -   , -   ,82,, -   , -   ,1790,, -   , -   ,31000,, -   , -   ,1597,, -   , -   ,25300,, -   , -   ,6230,, -   , -   ,2240,, -   , -   ,87167,, -   , -   ,12307,, -   , -   ,19117,, -   , -   ,44167,, -   , -   ,7233,, -   , -   ,2417,, -   , -   ,45667,, -   , -   ,19700,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/3/17,Y, -   ,1210,1210, 0.056 ,41958,96,42054, 1.171 , -   ,860,860, 0.480 , -   ,26280,26280, 0.848 , -   ,269,269, 0.168 , -   ,3100,3100, 0.123 , -   ,2714,2714, 0.436 , -   ,373,373, 0.167 , -   ,73500,73500, 0.843 , -   ,34935,34935, 2.839 , -   ,5333,5333, 0.279 , -   ,14660,14660, 0.332 , -   ,4858,4858, 0.672 , -   ,3058,3058, 1.265 , -   ,24993,24993, 0.547 , -   ,15025,15025, 0.763 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/4/17,N, -   , -   ,1210,, -   , -   ,42054,, -   , -   ,860,, -   , -   ,26280,, -   , -   ,269,, -   , -   ,3100,, -   , -   ,2714,, -   , -   ,373,, -   , -   ,73500,, -   , -   ,34935,, -   , -   ,5333,, -   , -   ,14660,, -   , -   ,4858,, -   , -   ,3058,, -   , -   ,24993,, -   , -   ,15025,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/5/17,N, -   , -   ,1210,, -   , -   ,42054,, -   , -   ,860,, -   , -   ,26280,, -   , -   ,269,, -   , -   ,3100,, -   , -   ,2714,, -   , -   ,373,, -   , -   ,73500,, -   , -   ,34935,, -   , -   ,5333,, -   , -   ,14660,, -   , -   ,4858,, -   , -   ,3058,, -   , -   ,24993,, -   , -   ,15025,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/6/17,Y, -   ,425,425, 0.351 , -   ,26511,26511, 0.630 , -   ,175,175, 0.203 , -   ,17683,17683, 0.673 ,200000,28,200028, 0.104 , -   ,926,926, 0.299 , -   ,1216,1216, 0.448 , -   ,327,327, 0.877 , -   ,76680,76680, 1.043 , -   ,26427,26427, 0.756 , -   ,3119,3119, 0.585 , -   ,18900,18900, 1.289 , -   ,3187,3187, 0.656 , -   ,1417,1417, 0.463 , -   ,12310,12310, 0.493 , -   ,6034,6034, 0.402 , -   , -   , -   ,#VALUE!, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/7/17,N, -   , -   ,425,, -   , -   ,26511,, -   , -   ,175,, -   , -   ,17683,, -   , -   ,200028,, -   , -   ,926,, -   , -   ,1216,, -   , -   ,327,, -   , -   ,76680,, -   , -   ,26427,, -   , -   ,3119,, -   , -   ,18900,, -   , -   ,3187,, -   , -   ,1417,, -   , -   ,12310,, -   , -   ,6034,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/8/17,N, -   , -   ,425,, -   , -   ,26511,, -   , -   ,175,, -   , -   ,17683,, -   , -   ,200028,, -   , -   ,926,, -   , -   ,1216,, -   , -   ,327,, -   , -   ,76680,, -   , -   ,26427,, -   , -   ,3119,, -   , -   ,18900,, -   , -   ,3187,, -   , -   ,1417,, -   , -   ,12310,, -   , -   ,6034,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
7/9/17,N, -   , -   ,425,, -   , -   ,26511,, -   , -   ,175,, -   , -   ,17683,, -   , -   ,200028,, -   , -   ,926,, -   , -   ,1216,, -   , -   ,327,, -   , -   ,76680,, -   , -   ,26427,, -   , -   ,3119,, -   , -   ,18900,, -   , -   ,3187,, -   , -   ,1417,, -   , -   ,12310,, -   , -   ,6034,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
