GROUP,COHORT,TREATMENT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,
SN6-LOW,SN,6-LOW,8.51,9.85,10.43,7.99,6,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,9.05,8.89,9.82,9.27,8.15,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,6.5,10.35,5.85,9.83,7.65,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,12.87,18.55,13.97,14.06,13.71,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,17.45,11.96,11.22,14.85,11.99,11.98,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,11.26,11.03,17.46,12.1,13.07,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,14.39,14.78,11.38,14.34,13.62,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,13.2,15.89,15.05,17.33,15.5,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,11.72,15.47,15.44,12.98,12.43,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,13.68,13.48,15.94,12.3,11.93,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,17.68,13.67,10.99,13.92,11.56,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,19.35,12.68,13.67,16.77,13.6,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,14,11.22,13.1,12.48,12.22,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,11.83,14.58,17.79,13.98,12.76,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,18.07,13.06,12.4,15.34,12.62,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,13.62,14.94,10.94,13.69,13.84,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,15.69,11.98,13.14,12.04,12.63,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,15.63,11.03,12.08,13.5,12.04,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,16.36,14.71,11.74,16.38,12.41,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,12.14,11.4,12.71,12.07,18.01,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,14.27,11.43,14.7,15.37,20.57,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,17.12,13.36,13.98,15,6.94,8.87,,,,,,,,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,15.51,11.66,15.25,9.2,9.08,11.84,15.1,17.96,7.49,11.37,3.8,5.77,6.87,8.74,13.48,15.09,17.4,9.52,10.28,3.96,2.81,14.14,5.28,13.3,15.63,,,
K6-AMB,K,6-AMB,18.13,13.86,11.24,15.44,15.13,16.07,15.26,17.19,14.71,14.01,13.94,11.19,13.5,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,15.55,14.56,14.68,14.83,11.8,12.27,13.46,14.49,12.63,11.92,13.74,12,13.01,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,11.23,16.17,11.18,13.62,11.27,12.77,12.51,16.27,16.19,17.14,20.77,12.97,12.44,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,15.69,12.15,13.19,11.95,11.8,18.36,18.83,12.13,14.56,16.64,19.44,15.97,11.31,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,11.48,15.69,16.09,16.48,15.45,13.44,16.48,11.11,16.31,16.67,13.61,14.71,14.61,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,14.2,11.94,11.28,12.61,11.73,13.59,11.46,12.91,15.32,13.56,12.24,11.64,12.64,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,11.28,11.02,11.59,13.5,13.29,11.17,13.64,16.13,14.87,12.06,14.07,15.44,12.45,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,12.01,12.06,16.54,15.11,15.07,16.44,15.31,13.16,15.36,12.24,15.91,11.18,13.17,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,15.35,11.31,14.3,16.83,12.55,13.84,13.91,15.77,15.61,17.77,16.27,15,12.97,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,14.12,11.8,11.25,15.68,12.82,15.01,13.79,15.38,16.08,14.2,14.54,14.63,13.28,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,14.99,15.25,12.53,11.93,15.59,17.8,12.08,12.78,16.42,11.06,11.22,12.36,15.65,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,17.21,11.08,14.98,17.37,12.79,17.07,14.13,14.22,12.95,11.93,17.52,12.99,11.97,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,9.02,7.59,8.5,10.81,9.19,9.12,6.84,9.84,5.7,6.41,4.13,3.43,3.26,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,8.34,10.72,9.64,8.02,8.83,6.42,10.73,10.39,10.2,9.2,8.16,8.16,6.4,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,10.14,8.38,6.91,8.22,9.6,10.78,9.7,4.17,7.65,5.85,9.08,8.27,9.12,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,7.93,10.44,7.17,4.95,8.55,8.18,8,7.96,4.67,7.58,7.84,7.02,6.48,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,5.08,4.9,4.8,4.06,8.75,9.92,6.63,6.84,6.67,6.98,8.87,10.76,10.32,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,5.27,5.14,5.61,4.97,8.85,10.51,5.28,5.24,9.89,9.54,8.84,6.45,5.64,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,9.54,7.99,6.22,5.41,9.87,7.4,6.17,7.91,6.66,8.47,10.06,5.75,5.61,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,7.2,10.31,9.58,7.7,5.89,5.84,7.32,6.82,8.52,10.3,8.57,9.11,5.79,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,5.98,6.13,5.67,8.05,6.81,6.23,9.78,3.41,9.56,8.84,9.07,6.16,8.43,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,6.23,5.4,9.05,8.1,8.38,10.28,7.2,4.35,8.72,7.75,7.18,9.64,8.02,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,10.49,6.19,6.79,5.83,9.09,8.37,7.42,9.49,6.1,6.27,7.71,7.43,5,,,,,,,,,,,,,,,
K6-AMB,K,6-AMB,9.96,9.76,9.11,12.72,13.32,12.15,12.41,13.54,12.28,5.88,8.26,8.65,7.74,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,8.66,11.08,7.06,10.88,10.64,8.74,6.32,8.02,8.78,9.28,8.26,6.24,8.06,7.56,14.97,11.95,7.63,8.31,8.14,6.22,5.69,6.35,5.35,15.08,10.19,,,
K6-LOW,K,6-LOW,13.63,9.13,10.11,15.77,11.88,11.08,9.48,10.27,10.57,8.9,14.34,9.24,10.41,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,18.07,9.99,9.11,21.74,10.72,9.92,9.02,12.37,19.7,9.49,9.11,9.18,10.62,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,15.38,9.78,10.32,10.04,10.58,9.3,10.86,10.39,13.3,15,8.78,17.02,9.3,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,9.65,9.94,10.86,10.03,18.54,10.3,9.55,11.39,12,10.24,9.71,11.95,13.34,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,9.99,13.93,9.17,9.77,10.83,9.15,11.89,11.38,8.75,9.31,9.38,9.41,9.15,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,10.13,11.23,9.97,8.79,11.42,9.44,9.77,8.97,11.11,10.07,8.87,12.47,11.61,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,10.65,12.84,10,8.8,9.34,9.18,9.41,8.67,11.08,9.02,13.72,8.62,9.6,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,9.89,9.95,11.02,10.4,8.93,9.19,7.67,6.97,7.14,7.66,6.14,7.33,8.32,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,5.07,5.03,5.79,4.35,4.86,4.11,4.55,4.99,4.59,5.45,4.72,4.31,4.56,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,5.18,4.23,4.34,4.73,3.57,5.43,4.08,4.11,3.76,3.83,3.84,3.72,4.23,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,3.58,4.05,4.19,3.82,3.79,3.72,4.24,3.76,3.92,3.93,3.85,3.01,3.9,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,3.37,2.64,3.7,3.83,3.23,3.57,2.95,3.68,3.46,2.83,2.88,3.16,2.89,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,6.93,7.76,8.07,6.4,5.61,8.63,8.14,7.44,8.33,7.49,7.19,7.82,6.06,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,6.36,6.34,5.44,7.83,8.66,8.64,6.42,5.36,4.61,5.61,5.06,5.41,4.19,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,6.92,7.75,7.9,7.71,7.24,6.77,6.5,7.2,6.89,6.36,8.71,4.95,4.92,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,8.01,4.01,5.22,6.42,7.24,6.33,7.18,8.34,6.81,5.94,7.26,4.26,4,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,4.93,4.69,4.14,3.84,8,6.7,8.06,8.11,7.3,5.34,5.5,5.7,4.36,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,7.61,6.81,5.64,7.37,5.7,5.25,4.37,4.08,7.42,8.21,6.71,6.83,7.47,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,8.69,7.02,8.03,6.55,7.12,7.2,5.79,5.97,5.23,3.98,6.58,7.27,7.03,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,7.36,6.59,5.88,4.66,5.08,4.4,4.37,6.21,8.06,6.36,6.89,5.29,7.04,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,7.33,8.24,6.13,7.89,7.72,7.17,6.81,7.34,6.99,8.42,6.58,7.59,7.19,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,7.4,6.87,6.19,6.3,5.45,6.45,5.88,5.35,5.98,5.54,5.8,7.54,7.68,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,7.49,8.25,7.33,6.56,5.19,4.85,5.71,55.7,7.18,7.17,8.13,6.37,6.03,,,,,,,,,,,,,,,
K6-LOW,K,6-LOW,7.01,7.25,5.9,7.11,6.32,4.81,6.01,6.66,6.41,6.3,6.39,4.58,5.35,,,,,,,,,,,,,,,
HL6-AMB,HL,6-AMB,7.82,4.85,8.69,6.28,8.99,7.03,6.47,6.18,7.23,6.43,7.63,5.88,6.58,6.48,6.66,6.97,6.92,6.06,7.07,5.77,,,,,,,,
HL6-AMB,HL,6-AMB,7.12,6.79,5.63,6.34,6.48,4.64,4.8,5.17,5.43,4.96,3.8,4.57,5.23,3.37,3.86,4.58,4.46,6.32,8.31,3.83,,,,,,,,
HL6-AMB,HL,6-AMB,5.99,5.27,6.11,4.51,3.52,4.45,6.38,4.35,5.66,4.5,4,3.54,4.44,3.46,5.21,2.15,3.53,6.14,3.65,4.56,,,,,,,,
HL6-AMB,HL,6-AMB,3.68,7.18,6.32,4.85,2.67,7.01,3.92,4.56,3.43,4.17,3.33,5.69,5.78,5.14,5.44,4.48,6.91,5.3,5.31,5.92,,,,,,,,
HL6-AMB,HL,6-AMB,5.26,3.56,6.38,6.95,4.17,7.04,6.77,3.3,4.86,3.71,4.32,3.68,5.08,7.02,2.77,2.81,5.69,6.43,4.52,3.86,,,,,,,,
HL6-AMB,HL,6-AMB,4.2,5.59,3.6,5.47,3.53,7.46,6.6,3.97,,,,,,,,,,,,,,,,,,,,
NF10-LOW,NF,10-LOW,5.86,7.85,15.82,14.53,18.13,14.53,15.05,17.23,24.4,7.23,5.36,14.89,5.16,21.74,22.76,19.64,18.35,19.26,20.08,20.82,,,,,,,,
NF10-LOW,NF,10-LOW,16.61,24.13,16.69,21.58,17.39,15.76,17.25,16.47,16.12,15.68,14.05,13.95,14.83,13.06,13.1,12.73,18.19,16,13.5,10.78,,,,,,,,
NF10-LOW,NF,10-LOW,5.82,13.74,14.14,13.05,8.79,13.18,11.7,10.79,9.6,8.89,8.04,7.94,9.41,10.44,10.35,9.96,10.42,6.73,7.87,7.05,,,,,,,,
NF10-LOW,NF,10-LOW,8.33,7.49,6.46,4.82,9.72,3.86,4.52,7.83,4.31,4.64,6.86,5.38,6.32,5.95,,,,,,,,,,,,,,
HL6-LOW,HL,6-LOW,6.07,5.22,3.66,5.86,5.32,3.14,2.9,4.43,5.79,4.38,5.13,4.16,4.95,3.68,5.2,4.7,3.57,3.73,3.58,5.15,,,,,,,,
HL6-LOW,HL,6-LOW,3.12,5.16,3.68,3.47,5.07,6.01,3.03,3.41,3.29,3.62,3.83,5.41,4.32,3.35,6.43,5.25,4.22,2.4,2.08,4.07,,,,,,,,
HL6-LOW,HL,6-LOW,3.97,5.42,5.03,5.55,2.89,6.57,4.24,3.99,2.72,3.57,6.38,2.99,4.11,4.3,4.99,4.6,3.21,5.41,3,3.66,,,,,,,,
HL6-LOW,HL,6-LOW,3.69,4.88,7.54,6.28,4.68,4.73,6.08,4.54,4.81,4.1,5.07,4.79,3.14,4.41,4.43,3.19,4.63,4.8,3.05,3.18,,,,,,,,
HL6-LOW,HL,6-LOW,4.92,3.64,5.69,3.18,5.51,3.84,2.81,5.52,3.64,3.44,4.05,5.64,3.51,3.32,4.55,4.3,6.99,3.35,4.01,3.46,,,,,,,,
SN10-AMB,SN,10-AMB,19.91,15.73,19.86,9.87,19.65,15.89,16.81,14.33,16.4,11.62,7.94,11.02,13.24,12.59,14.01,11.83,11.08,9.12,12.36,13.82,,,,,,,,
SN10-AMB,SN,10-AMB,13.32,13.85,11.89,10.69,8.45,11.3,11.01,5.05,6.12,7.64,11.75,10.17,8.68,8,9.45,9.75,8.49,8.83,8.61,8.93,,,,,,,,
SN10-AMB,SN,10-AMB,6.53,5.08,7.68,5.56,5.55,9.15,9.14,,,,,,,,,,,,,,,,,,,,,
SN10-LOW,SN,10-LOW,16.57,17.22,16.54,15.33,2.55,14.46,13.49,21.56,13.18,18.85,11.26,13.27,10.4,8.96,9.94,11.84,14.51,11.34,13.54,10.85,,,,,,,,
SN10-LOW,SN,10-LOW,9.16,15.72,10.27,7.6,7.36,7.69,6.43,,,,,,,,,,,,,,,,,,,,,
NF10-AMB,NF,10-AMB,15.59,14.2,6.86,9.6,8.21,9.1,17.59,9.25,8.22,6.1,9.1,11.12,4.6,6.41,8.87,8.46,12.09,8.12,14.99,4.98,,,,,,,,
NF10-AMB,NF,10-AMB,10.09,10.09,13.89,14.42,8.92,4.03,8.9,12.31,12.47,4.36,13.26,8.73,9.32,11.18,9.28,13.72,9.63,7.41,11.47,8.81,,,,,,,,
NF10-AMB,NF,10-AMB,6.17,6.34,4.84,12.07,14.8,11.7,5.34,12.5,11.15,9.07,11.3,10.69,7.39,6.13,8.22,9.1,9,8.37,15.94,10.7,,,,,,,,
NF10-AMB,NF,10-AMB,9.42,5.58,10.52,8.8,4.09,5.31,9.78,3.23,11.26,9.48,8.85,11.28,9.94,7.62,7.51,10.14,8.38,10.43,6.19,9.54,,,,,,,,
NF10-AMB,NF,10-AMB,7.41,13.81,14.54,13.53,7.73,12.55,12.37,5.35,6.17,9.41,7.53,10.42,3.6,14.77,7.35,8.7,10.49,9.92,10.8,5.95,,,,,,,,
NF10-AMB,NF,10-AMB,9.15,6.18,5.16,4.98,10.32,11.53,8.5,9.43,8.08,5.29,6.91,10.88,7.36,7.89,6.21,6.18,4.81,15.62,12.32,13.04,,,,,,,,
NF10-AMB,NF,10-AMB,12.39,11.13,14.86,17.11,11.81,11.69,17.46,10.36,12.62,10.55,10.8,8.12,11.57,7.68,9.9,13.07,12.51,11.46,10.25,14.05,,,,,,,,
NF10-AMB,NF,10-AMB,9.21,10.64,7.49,13.51,7.63,5.13,10.06,5.87,14.83,11.92,8.99,12.66,6.79,13.73,14.05,11.28,8.8,7.45,14.47,5.61,,,,,,,,
HL10-AMB,HL,10-AMB,9.67,7.25,7.27,7.63,12.46,6.52,9.6,5.75,10.81,8.76,8.49,6.36,7.29,8.89,8.82,10.86,7.56,9.2,4.92,4.07,,,,,,,,
HL10-AMB,HL,10-AMB,5.8,4.92,8.57,8.98,7.21,9.92,7.68,4.24,10.09,7.67,5.23,8.92,6.63,7.07,6.94,7.05,8.54,8.24,10.55,3.27,,,,,,,,
HL10-AMB,HL,10-AMB,7.9,9.16,6.63,6.76,4.52,5.4,10.05,9.59,5.57,6.69,7.06,9.99,7.93,7.26,7.87,5.7,7.59,6.65,9.2,7.76,,,,,,,,
HL10-AMB,HL,10-AMB,5.85,7.93,5.21,8.15,7.49,6.11,10.58,6.76,8.56,10.52,8.88,7.34,6.85,5.14,4.99,6.01,4.64,4.56,8.07,2.58,,,,,,,,
HL10-AMB,HL,10-AMB,5.07,4.84,2.5,8.02,5.73,3.46,8.48,9.07,7.68,5.67,6.23,3.77,5.75,4.05,6.88,16.37,15.09,8.27,9.8,5.53,,,,,,,,
HL10-AMB,HL,10-AMB,6.38,4.33,6.94,5.86,3.35,9.79,7.63,7.37,8.81,5.65,9.25,6.83,7.94,5.55,12.84,3.52,10.38,10.06,3.87,11.33,,,,,,,,
HL10-AMB,HL,10-AMB,5.47,11.92,5.88,8.15,8.3,5.59,9.42,9.24,6.52,8.02,6.57,4.5,6.87,6.7,6.36,6.09,6.47,12.26,8.66,5.62,,,,,,,,
HL10-AMB,HL,10-AMB,5.45,10.26,5.47,8.37,5.28,5.49,10.61,6.45,9.1,8.98,6.2,4.72,7.2,4.95,3.57,9.39,8.24,10.26,4.58,4.76,,,,,,,,
HL10-AMB,HL,10-AMB,7.51,10.31,6.68,5.71,8,6.75,4.95,7.38,7.49,6.64,8.86,5.16,10.14,8.33,4.5,6.19,6.3,3.44,5.29,7.08,,,,,,,,
HL10-AMB,HL,10-AMB,5.34,4.92,11.23,5.53,7.01,5.08,5.64,8.16,9.46,8.08,10.2,4.88,6.87,5.2,5.19,8.7,8.39,4.31,6.79,5.37,,,,,,,,
NF10-AMB,NF,10-AMB,9.78,12.36,6.92,11.64,10.49,12.86,12.21,10.01,8.62,9.27,6.98,10.23,12.45,10.08,15.05,9.65,7.22,5.12,5.02,7.32,,,,,,,,
NF10-AMB,NF,10-AMB,11.58,12.93,16.03,16.98,8.4,10.24,11.75,8.76,4.51,9.2,9.31,10.38,10.45,11.04,7.96,9.21,9.18,5.63,7.94,7.5,,,,,,,,
